dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
BNG_heart-statlog,NO,S,Random,0,1104,3,4,6,1
BNG_heart-statlog,NO,SDVC,Random,0,1200,3,4,6,1
BNG_heart-statlog,NO,SMVF,Random,0,1246,3,4,6,1
BNG_heart-statlog,NO,SSN,Random,0,1381,3,4,6,1
BNG_heart-statlog,NO,SCV,Random,0,1184,3,4,6,1
BNG_heart-statlog,NO,SDVCMVF,Random,0,1360,3,4,6,1
BNG_heart-statlog,NO,SDVCSN,Random,0,1481,3,4,6,1
BNG_heart-statlog,NO,SMVFSN,Random,0,1526,3,4,6,1
BNG_heart-statlog,NO,SMVFCV,Random,0,1329,3,4,6,1
BNG_heart-statlog,NO,SSNCV,Random,0,1465,3,4,6,1
BNG_heart-statlog,NO,ALL,Random,0,1615,3,4,6,1
BNG_heart-statlog,NO,CatDB,Random,0,1618,3,4,6,1
