dataset_name,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
Road-Safety,1,str,0,363243,140056,363243
Road-Safety,2,int,0,363243,21,363243
Road-Safety,3,int,0,363243,38,363243
Road-Safety,4,int,0,363243,3,363243
Road-Safety,5,int,0,363243,28,363243
Road-Safety,6,int,0,363243,3,363243
Road-Safety,7,int,0,363243,3,363243
Road-Safety,8,int,0,363243,37,363243
Road-Safety,9,int,1,363242,12,363243
Road-Safety,10,int,2,363241,10,363243
Road-Safety,11,int,2,363241,11,363243
Road-Safety,12,int,22,363221,6,363243
Road-Safety,13,int,46,363197,5,363243
Road-Safety,14,int,62,363181,20,363243
Road-Safety,15,int,84,363159,9,363243
Road-Safety,16,int,134,363109,2,363243
Road-Safety,17,int,159,363084,9,363243
Road-Safety,18,int,163,363080,12,363243
Road-Safety,19,int,166,363077,3,363243
Road-Safety,20,int,176,363067,10,363243
Road-Safety,21,int,176,363067,6,363243
Road-Safety,22,int,184,363059,18,363243
Road-Safety,23,int,206,363037,5,363243
Road-Safety,24,int,379,362864,6,363243
Road-Safety,25,int,762,362481,3,363243
Road-Safety,26,int,1483,361760,2,363243
Road-Safety,27,int,5569,357674,11,363243
Road-Safety,28,int,5569,357674,101,363243
Road-Safety,29,int,35869,327374,95,363243
Road-Safety,30,int,35869,327374,11,363243
Road-Safety,31,int,39795,323448,3,363243
Road-Safety,32,int,43377,319866,15,363243
Road-Safety,33,str,43377,319866,204,363243
Road-Safety,34,int,43377,319866,6,363243
Road-Safety,35,int,43377,319866,49,363243
Road-Safety,36,int,43377,319866,5,363243
Road-Safety,37,date,43377,319866,365,363243
Road-Safety,38,int,43377,319866,2,363243
Road-Safety,39,int,43377,319866,7,363243
Road-Safety,40,int,43377,319866,6,363243
Road-Safety,41,int,43377,319866,8,363243
Road-Safety,42,int,43377,319866,21,363243
Road-Safety,43,int,43377,319866,3,363243
Road-Safety,44,int,43377,319866,3938,363243
Road-Safety,45,int,43377,319866,356,363243
Road-Safety,46,int,43377,319866,9,363243
Road-Safety,47,int,43379,319864,9,363243
Road-Safety,48,int,43401,319842,3,363243
Road-Safety,49,str,43421,319822,1439,363243
Road-Safety,50,float,43450,319793,116292,363243
Road-Safety,51,int,43450,319793,82205,363243
Road-Safety,52,float,43450,319793,117588,363243
Road-Safety,53,int,43450,319793,78609,363243
Road-Safety,54,int,43590,319653,6,363243
Road-Safety,55,int,43617,319626,8,363243
Road-Safety,56,int,43679,319564,6,363243
Road-Safety,57,int,43696,319547,3,363243
Road-Safety,58,int,43893,319350,5,363243
Road-Safety,59,int,44827,318416,3707,363243
Road-Safety,60,int,60709,302534,3,363243
Road-Safety,61,str,64485,298758,25979,363243
Road-Safety,62,int,69577,293666,10,363243
Road-Safety,63,int,92636,270607,11,363243
Road-Safety,64,int,93346,269897,1140,363243
Road-Safety,65,int,107105,256138,72,363243
Road-Safety,66,int,174021,189222,4,363243
Road-Safety,67,int,175042,188201,6,363243
