dataset_name,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
MD-MIX-Mini,1,str,0,28240,706,28240
MD-MIX-Mini,2,int,0,28240,251,28240
MD-MIX-Mini,3,float,0,28240,1,28240
MD-MIX-Mini,4,int,0,28240,706,28240
MD-MIX-Mini,5,int,0,28240,309,28240
MD-MIX-Mini,6,int,0,28240,309,28240
MD-MIX-Mini,7,int,0,28240,1,28240
MD-MIX-Mini,8,str,0,28240,4,28240
MD-MIX-Mini,9,str,0,28240,1,28240
MD-MIX-Mini,10,str,0,28240,526,28240
MD-MIX-Mini,11,str,0,28240,2,28240
MD-MIX-Mini,12,str,0,28240,22224,28240
MD-MIX-Mini,13,str,0,28240,45,28240
MD-MIX-Mini,14,str,0,28240,2,28240
MD-MIX-Mini,15,bool,0,28240,2,28240
MD-MIX-Mini,16,float,0,28240,26247,28240
MD-MIX-Mini,17,float,0,28240,1,28240
MD-MIX-Mini,18,float,0,28240,1,28240
MD-MIX-Mini,19,float,0,28240,1,28240
MD-MIX-Mini,20,float,0,28240,1,28240
MD-MIX-Mini,21,float,0,28240,457,28240
MD-MIX-Mini,22,float,0,28240,26247,28240
MD-MIX-Mini,23,int,0,28240,1,28240
MD-MIX-Mini,24,int,0,28240,1,28240
MD-MIX-Mini,25,float,0,28240,26247,28240
MD-MIX-Mini,26,int,0,28240,1,28240
MD-MIX-Mini,27,str,0,28240,23,28240
MD-MIX-Mini,28,int,0,28240,281,28240
MD-MIX-Mini,29,str,0,28240,845,28240
MD-MIX-Mini,30,str,0,28240,28240,28240
MD-MIX-Mini,31,str,1,28239,803,28240
MD-MIX-Mini,32,float,4236,24004,412,28240
MD-MIX-Mini,33,str,14120,14120,763,28240
MD-MIX-Mini,34,str,14120,14120,679,28240
MD-MIX-Mini,35,str,14120,14120,26,28240
MD-MIX-Mini,36,int,14120,14120,5,28240
MD-MIX-Mini,37,int,14120,14120,702,28240
MD-MIX-Mini,38,int,14120,14120,955,28240
MD-MIX-Mini,39,int,14120,14120,7,28240
MD-MIX-Mini,40,int,14120,14120,745,28240
MD-MIX-Mini,41,int,14120,14120,1006,28240
MD-MIX-Mini,42,int,14120,14120,745,28240
MD-MIX-Mini,43,int,14120,14120,7,28240
MD-MIX-Mini,44,str,14120,14120,26,28240
MD-MIX-Mini,45,int,14120,14120,5,28240
MD-MIX-Mini,46,int,14120,14120,955,28240
MD-MIX-Mini,47,int,14120,14120,702,28240
MD-MIX-Mini,48,int,14120,14120,7,28240
MD-MIX-Mini,49,int,14120,14120,5,28240
MD-MIX-Mini,50,int,14120,14120,5,28240
MD-MIX-Mini,51,int,14120,14120,1006,28240
MD-MIX-Mini,52,int,14120,14120,7,28240
MD-MIX-Mini,53,int,15532,12708,2,28240
MD-MIX-Mini,54,str,15532,12708,2,28240
MD-MIX-Mini,55,int,19768,8472,1,28240
MD-MIX-Mini,56,str,19768,8472,1,28240
MD-MIX-Mini,57,str,22592,5648,26,28240
MD-MIX-Mini,58,int,22592,5648,582,28240
MD-MIX-Mini,59,int,22592,5648,559,28240
MD-MIX-Mini,60,int,22592,5648,5,28240
MD-MIX-Mini,61,int,22592,5648,5,28240
MD-MIX-Mini,62,int,22592,5648,7,28240
MD-MIX-Mini,63,int,22592,5648,559,28240
MD-MIX-Mini,64,int,22592,5648,582,28240
MD-MIX-Mini,65,int,22592,5648,7,28240
MD-MIX-Mini,66,float,24004,4236,202,28240
MD-MIX-Mini,67,str,26828,1412,268,28240
MD-MIX-Mini,68,str,26828,1412,1377,28240
MD-MIX-Mini,69,str,26828,1412,337,28240
