dataset,col_index,data_type,missing_values_count,distinct_values_count
dataset_3,1,float,15770,1149
dataset_3,2,float,176110,10
dataset_3,3,float,0,3949
dataset_3,4,float,15875,1151
dataset_3,5,float,96050,122
dataset_3,6,float,176385,10
dataset_3,7,float,15814,1132
dataset_3,8,float,15723,1161
dataset_3,9,int,15078,27265
dataset_3,10,int,0,4566
dataset_3,11,int,0,3539
dataset_3,12,int,0,544
dataset_3,13,int,321209,133
dataset_3,14,int,190,174
dataset_3,15,int,176110,233
dataset_3,16,int,98508,1218
dataset_3,17,int,0,14
dataset_3,18,int,318809,10
dataset_3,19,int,0,225
dataset_3,20,int,8454,47036
dataset_3,21,int,0,546
dataset_3,22,int,192700,60
dataset_3,23,int,39010,26342
dataset_3,24,int,321145,136
dataset_3,25,int,0,22371
dataset_3,26,int,0,10
dataset_3,27,int,0,26
dataset_3,28,int,15078,121478
dataset_3,29,int,0,227
dataset_3,30,int,0,3099
dataset_3,31,int,0,10227
dataset_3,32,int,96050,236
dataset_3,33,int,0,3103
dataset_3,34,int,0,545
dataset_3,35,int,0,229
dataset_3,36,int,0,14
dataset_3,37,int,192700,3
dataset_3,38,int,192501,61
dataset_3,39,int,15078,170907
dataset_3,40,int,193,169
dataset_3,41,int,0,22358
dataset_3,42,int,15770,2492
dataset_3,43,int,0,26
dataset_3,44,int,15773,117
dataset_3,45,int,15005,121504
dataset_3,46,int,0,3103
dataset_3,47,int,39101,26380
dataset_3,48,int,321059,136
dataset_3,49,int,0,10
dataset_3,50,int,15123,170897
dataset_3,51,int,0,26
dataset_3,52,int,0,7774
dataset_3,53,int,79362,2766
dataset_3,54,int,15089,27181
dataset_3,55,int,0,3
dataset_3,56,int,15078,74499
dataset_3,57,int,0,220
dataset_3,58,int,0,545
dataset_3,59,int,0,3098
dataset_3,60,int,15770,117
dataset_3,61,int,15684,118
dataset_3,62,int,79253,2783
dataset_3,63,int,50089,13
dataset_3,64,int,15078,139751
dataset_3,65,int,15852,118
dataset_3,66,int,0,442
dataset_3,67,int,192652,3
dataset_3,68,int,0,225
dataset_3,69,int,320967,132
dataset_3,70,int,0,957
dataset_3,71,int,192674,59
dataset_3,72,int,0,10235
dataset_3,73,int,0,10230
dataset_3,74,int,0,7786
dataset_3,75,int,50135,13
dataset_3,76,int,192700,1654
dataset_3,77,int,15078,153819
dataset_3,78,int,320924,132
dataset_3,79,bool,0,2
