dataset,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
oml_dataset_19_rnc,1,float,0,1000000,996678,1000000
oml_dataset_19_rnc,2,float,0,1000000,983895,1000000
oml_dataset_19_rnc,3,float,0,1000000,612925,1000000
oml_dataset_19_rnc,4,float,0,1000000,993224,1000000
oml_dataset_19_rnc,5,float,0,1000000,989437,1000000
oml_dataset_19_rnc,6,float,0,1000000,216199,1000000
oml_dataset_19_rnc,7,str,0,1000000,2,1000000
oml_dataset_19_rnc,8,int,0,1000000,3,1000000
oml_dataset_19_rnc,9,int,0,1000000,4,1000000
oml_dataset_19_rnc,10,int,0,1000000,3,1000000
oml_dataset_19_rnc,11,int,0,1000000,3,1000000
oml_dataset_19_rnc,12,bool,0,1000000,2,1000000
oml_dataset_19_rnc,13,bool,0,1000000,2,1000000
oml_dataset_19_rnc,14,bool,0,1000000,2,1000000
