dataset,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
credit-g,1,int,0,1000,4,1000
credit-g,2,bool,0,1000,2,1000
credit-g,3,int,0,1000,4,1000
credit-g,4,int,0,1000,5,1000
credit-g,5,int,0,1000,4,1000
credit-g,6,int,0,1000,3,1000
credit-g,7,int,0,1000,3,1000
credit-g,8,int,0,1000,53,1000
credit-g,9,int,0,1000,921,1000
credit-g,10,bool,0,1000,2,1000
credit-g,11,int,0,1000,4,1000
credit-g,12,int,0,1000,4,1000
credit-g,13,int,0,1000,10,1000
credit-g,14,int,0,1000,4,1000
credit-g,15,int,0,1000,33,1000
credit-g,16,int,0,1000,5,1000
credit-g,17,int,0,1000,3,1000
credit-g,18,int,0,1000,4,1000
credit-g,19,int,0,1000,5,1000
credit-g,20,int,0,1000,2,1000
credit-g,21,bool,0,1000,2,1000
