dataset,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
oml_dataset_85_rnc,1,int,0,108000,10,108000
oml_dataset_85_rnc,2,int,0,108000,9,108000
oml_dataset_85_rnc,3,int,0,108000,9,108000
oml_dataset_85_rnc,4,int,0,108000,9,108000
oml_dataset_85_rnc,5,int,0,108000,9,108000
oml_dataset_85_rnc,6,int,0,108000,10,108000
oml_dataset_85_rnc,7,int,0,108000,10,108000
oml_dataset_85_rnc,8,int,0,108000,10,108000
oml_dataset_85_rnc,9,int,0,108000,10,108000
oml_dataset_85_rnc,10,int,0,108000,9,108000
oml_dataset_85_rnc,11,int,0,108000,9,108000
oml_dataset_85_rnc,12,int,0,108000,10,108000
oml_dataset_85_rnc,13,int,0,108000,10,108000
oml_dataset_85_rnc,14,int,0,108000,9,108000
oml_dataset_85_rnc,15,int,0,108000,9,108000
oml_dataset_85_rnc,16,int,0,108000,10,108000
oml_dataset_85_rnc,17,int,0,108000,10,108000
oml_dataset_85_rnc,18,int,0,108000,8,108000
oml_dataset_85_rnc,19,int,0,108000,9,108000
oml_dataset_85_rnc,20,int,0,108000,9,108000
oml_dataset_85_rnc,21,int,0,108000,10,108000
oml_dataset_85_rnc,22,int,0,108000,10,108000
oml_dataset_85_rnc,23,int,0,108000,10,108000
oml_dataset_85_rnc,24,int,0,108000,9,108000
oml_dataset_85_rnc,25,int,0,108000,10,108000
oml_dataset_85_rnc,26,int,0,108000,5,108000
oml_dataset_85_rnc,27,int,0,108000,4,108000
oml_dataset_85_rnc,28,int,0,108000,10,108000
oml_dataset_85_rnc,29,int,0,108000,9,108000
oml_dataset_85_rnc,30,int,0,108000,9,108000
oml_dataset_85_rnc,31,int,0,108000,10,108000
oml_dataset_85_rnc,32,int,0,108000,9,108000
oml_dataset_85_rnc,33,int,0,108000,7,108000
oml_dataset_85_rnc,34,int,0,108000,4,108000
oml_dataset_85_rnc,35,int,0,108000,9,108000
oml_dataset_85_rnc,36,int,0,108000,10,108000
oml_dataset_85_rnc,37,int,0,108000,10,108000
oml_dataset_85_rnc,38,int,0,108000,10,108000
oml_dataset_85_rnc,39,int,0,108000,8,108000
oml_dataset_85_rnc,40,int,0,108000,10,108000
oml_dataset_85_rnc,41,int,0,108000,10,108000
oml_dataset_85_rnc,42,int,0,108000,10,108000
oml_dataset_85_rnc,43,int,0,108000,10,108000
oml_dataset_85_rnc,44,int,0,108000,9,108000
oml_dataset_85_rnc,45,int,0,108000,10,108000
oml_dataset_85_rnc,46,int,0,108000,8,108000
oml_dataset_85_rnc,47,int,0,108000,10,108000
oml_dataset_85_rnc,48,int,0,108000,9,108000
oml_dataset_85_rnc,49,int,0,108000,8,108000
oml_dataset_85_rnc,50,int,0,108000,10,108000
oml_dataset_85_rnc,51,int,0,108000,10,108000
oml_dataset_85_rnc,52,int,0,108000,10,108000
oml_dataset_85_rnc,53,int,0,108000,7,108000
oml_dataset_85_rnc,54,int,0,108000,9,108000
oml_dataset_85_rnc,55,int,0,108000,10,108000
oml_dataset_85_rnc,56,int,0,108000,9,108000
oml_dataset_85_rnc,57,int,0,108000,10,108000
oml_dataset_85_rnc,58,int,0,108000,9,108000
oml_dataset_85_rnc,59,int,0,108000,7,108000
oml_dataset_85_rnc,60,int,0,108000,8,108000
oml_dataset_85_rnc,61,int,0,108000,10,108000
oml_dataset_85_rnc,62,int,0,108000,10,108000
oml_dataset_85_rnc,63,int,0,108000,8,108000
oml_dataset_85_rnc,64,int,0,108000,10,108000
oml_dataset_85_rnc,65,int,0,108000,8,108000
oml_dataset_85_rnc,66,int,0,108000,9,108000
