dataset_name,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
Hcdr,1,int,0,307511,15,307511
Hcdr,2,bool,0,307511,2,307511
Hcdr,3,bool,0,307511,2,307511
Hcdr,4,bool,0,307511,2,307511
Hcdr,5,bool,0,307511,2,307511
Hcdr,6,bool,0,307511,2,307511
Hcdr,7,bool,0,307511,2,307511
Hcdr,8,bool,0,307511,2,307511
Hcdr,9,bool,0,307511,2,307511
Hcdr,10,bool,0,307511,2,307511
Hcdr,11,bool,0,307511,2,307511
Hcdr,12,bool,0,307511,2,307511
Hcdr,13,bool,0,307511,2,307511
Hcdr,14,bool,0,307511,2,307511
Hcdr,15,bool,0,307511,2,307511
Hcdr,16,bool,0,307511,2,307511
Hcdr,17,bool,0,307511,2,307511
Hcdr,18,bool,0,307511,2,307511
Hcdr,19,bool,0,307511,2,307511
Hcdr,20,float,0,307511,15688,307511
Hcdr,21,float,0,307511,5603,307511
Hcdr,22,float,0,307511,2548,307511
Hcdr,23,float,0,307511,81,307511
Hcdr,24,bool,0,307511,2,307511
Hcdr,25,bool,0,307511,2,307511
Hcdr,26,bool,0,307511,2,307511
Hcdr,27,bool,0,307511,2,307511
Hcdr,28,bool,0,307511,2,307511
Hcdr,29,bool,0,307511,2,307511
Hcdr,30,bool,0,307511,2,307511
Hcdr,31,bool,0,307511,2,307511
Hcdr,32,bool,0,307511,2,307511
Hcdr,33,bool,0,307511,2,307511
Hcdr,34,bool,0,307511,2,307511
Hcdr,35,bool,0,307511,2,307511
Hcdr,36,bool,0,307511,2,307511
Hcdr,37,bool,0,307511,2,307511
Hcdr,38,str,0,307511,7,307511
Hcdr,39,int,0,307511,12574,307511
Hcdr,40,int,0,307511,3,307511
Hcdr,41,int,0,307511,6168,307511
Hcdr,42,int,0,307511,3,307511
Hcdr,43,int,0,307511,24,307511
Hcdr,44,int,0,307511,17460,307511
Hcdr,45,str,0,307511,3,307511
Hcdr,46,str,0,307511,5,307511
Hcdr,47,str,0,307511,2,307511
Hcdr,48,str,0,307511,2,307511
Hcdr,49,bool,0,307511,2,307511
Hcdr,50,str,0,307511,6,307511
Hcdr,51,str,0,307511,2,307511
Hcdr,52,str,0,307511,8,307511
Hcdr,53,str,0,307511,58,307511
Hcdr,54,str,0,307511,6,307511
Hcdr,55,int,1,307510,3773,307511
Hcdr,56,int,2,307509,17,307511
Hcdr,57,float,12,307499,13672,307511
Hcdr,58,float,278,307233,1002,307511
Hcdr,59,float,660,306851,119831,307511
Hcdr,60,int,1021,306490,33,307511
Hcdr,61,int,1021,306490,33,307511
Hcdr,62,int,1021,306490,9,307511
Hcdr,63,int,1021,306490,10,307511
Hcdr,64,str,1292,306219,7,307511
Hcdr,65,int,41519,265992,11,307511
Hcdr,66,int,41519,265992,9,307511
Hcdr,67,int,41519,265992,9,307511
Hcdr,68,int,41519,265992,24,307511
Hcdr,69,int,41519,265992,25,307511
Hcdr,70,int,41519,265992,5,307511
Hcdr,71,float,60965,246546,814,307511
Hcdr,72,str,96391,211120,18,307511
Hcdr,73,str,145755,161756,2,307511
Hcdr,74,float,148431,159080,5116,307511
Hcdr,75,float,150007,157504,221,307511
Hcdr,76,float,150007,157504,285,307511
Hcdr,77,float,150007,157504,245,307511
Hcdr,78,float,153020,154491,25,307511
Hcdr,79,float,153020,154491,49,307511
Hcdr,80,float,153020,154491,403,307511
Hcdr,81,str,154297,153214,3,307511
Hcdr,82,float,154350,153161,5199,307511
Hcdr,83,float,154350,153161,5281,307511
Hcdr,84,float,154350,153161,5301,307511
Hcdr,85,float,154828,152683,30,307511
Hcdr,86,float,154828,152683,285,307511
Hcdr,87,float,154828,152683,46,307511
Hcdr,88,float,156061,151450,2339,307511
Hcdr,89,float,156061,151450,760,307511
Hcdr,90,float,156061,151450,1148,307511
Hcdr,91,str,156341,151170,7,307511
Hcdr,92,float,163891,143620,257,307511
Hcdr,93,float,163891,143620,26,307511
Hcdr,94,float,163891,143620,46,307511
Hcdr,95,float,169682,137829,3323,307511
Hcdr,96,float,169682,137829,3290,307511
Hcdr,97,float,169682,137829,3327,307511
Hcdr,98,float,173378,134133,114584,307511
Hcdr,99,float,179943,127568,3841,307511
Hcdr,100,float,179943,127568,3772,307511
Hcdr,101,float,179943,127568,3780,307511
Hcdr,102,float,182590,124921,3563,307511
Hcdr,103,float,182590,124921,3527,307511
Hcdr,104,float,182590,124921,3560,307511
Hcdr,105,int,202929,104582,62,307511
Hcdr,106,float,204488,103023,151,307511
Hcdr,107,float,204488,103023,154,307511
Hcdr,108,float,204488,103023,149,307511
Hcdr,109,float,208642,98869,305,307511
Hcdr,110,float,208642,98869,25,307511
Hcdr,111,float,208642,98869,47,307511
Hcdr,112,float,210199,97312,1868,307511
Hcdr,113,float,210199,97312,1097,307511
Hcdr,114,float,210199,97312,736,307511
Hcdr,115,str,210295,97216,4,307511
Hcdr,116,float,213514,93997,386,307511
Hcdr,117,float,213514,93997,214,307511
Hcdr,118,float,213514,93997,167,307511
Hcdr,119,float,214865,92646,3202,307511
Hcdr,120,float,214865,92646,3181,307511
Hcdr,121,float,214865,92646,3128,307511
