dataset_name,config,llm_model,has_description,classifier,task_type,status,number_iteration,pipeline_gen_time,execution_time,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse
Higgs,CatDB,gpt-4,no,automatic,binary,True,3,26.1179354190826,4762.9400537014,0.715640519480519,0.736770530179022,-1,-1,-1,0.714696666666667,0.736024229108856,-1,-1,-1
Higgs,CatDB,gpt-4,yes,automatic,binary,True,1,22.7975459098816,5636.63517284393,0.633766363636364,0.719479536870499,-1,-1,-1,0.631688181818182,0.718095826113297,-1,-1,-1
Albert,CatDB,gpt-4,yes,automatic,binary,False,0,32.2666728496552,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Click-Prediction,CatDB,gpt-4,no,automatic,binary,True,3,20.8164179325104,321.233133077621,0.833896324311412,0.0066722553934064,-1,-1,-1,0.833352524853018,0.0070795756231915,-1,-1,-1
Click-Prediction,CatDB,gpt-4,yes,automatic,binary,True,3,20.7104334831238,316.047681093216,0.833583061493205,0.0019987304201623,-1,-1,-1,0.833033778743473,0.0019751017476657,-1,-1,-1
Census,CatDB,gpt-4,no,automatic,binary,True,1,19.0772366523743,269.687589883804,0.884504285714286,0.88354137998457,-1,-1,-1,0.881966666666667,0.880971740179166,-1,-1,-1
Census,CatDB,gpt-4,yes,automatic,binary,True,1,18.828770160675,255.4995906353,0.88465,0.883648612494345,-1,-1,-1,0.882036666666667,0.880992998527674,-1,-1,-1
Heart-Statlog,CatDB,gpt-4,no,automatic,binary,True,1,19.0711514949799,130.198647022247,0.896564285714286,0.896466267855997,-1,-1,-1,0.89471,0.894611963363365,-1,-1,-1
Heart-Statlog,CatDB,gpt-4,yes,automatic,binary,True,1,33.87578630447388,124.66439938545227,0.8967742857142857,0.896680850480484,-1,-1,-1,0.8950666666666667,0.894974199564786,-1,-1,-1
KDDCup99,CatDB,gpt-4,no,automatic,multiclass,True,2,23.2264883518219,635.897047042847,0.999975210716203,-1,-1,-1,-1,0.999915619279633,-1,-1,-1,-1
