dataset_name,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
Drug,1,str,0,120215,7,120215
Drug,2,str,0,120215,120215,120215
Drug,3,str,0,120215,117896,120215
Drug,4,str,0,120215,139,120215
Drug,5,int,0,120215,7474,120215
Drug,6,str,0,120215,13388,120215
Drug,7,str,0,120215,1,120215
Drug,8,str,0,120215,10,120215
Drug,9,str,7,120208,45019,120215
Drug,10,str,7,120208,19307,120215
Drug,11,str,2152,118063,192,120215
Drug,12,str,2616,117599,9729,120215
Drug,13,str,2616,117599,10204,120215
Drug,14,str,2616,117599,2927,120215
Drug,15,int,4593,115622,2,120215
Drug,16,str,14921,105294,11256,120215
Drug,17,str,74252,45963,1319,120215
Drug,18,str,108397,11818,4569,120215
Drug,19,str,115504,4711,4,120215
Drug,20,int,115624,4591,676,120215
