dataset_name,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
Gas-Drift,1,int,0,13910,6,13910
Gas-Drift,2,float,0,13910,13904,13910
Gas-Drift,3,float,0,13910,13894,13910
Gas-Drift,4,float,0,13910,13898,13910
Gas-Drift,5,float,0,13910,13897,13910
Gas-Drift,6,float,0,13910,13905,13910
Gas-Drift,7,float,0,13910,13900,13910
Gas-Drift,8,float,0,13910,13897,13910
Gas-Drift,9,float,0,13910,13891,13910
Gas-Drift,10,float,0,13910,13900,13910
Gas-Drift,11,float,0,13910,13850,13910
Gas-Drift,12,float,0,13910,13891,13910
Gas-Drift,13,float,0,13910,13894,13910
Gas-Drift,14,float,0,13910,13896,13910
Gas-Drift,15,float,0,13910,13908,13910
Gas-Drift,16,float,0,13910,13896,13910
Gas-Drift,17,float,0,13910,13855,13910
Gas-Drift,18,float,0,13910,13902,13910
Gas-Drift,19,float,0,13910,13894,13910
Gas-Drift,20,float,0,13910,13891,13910
Gas-Drift,21,float,0,13910,13854,13910
Gas-Drift,22,float,0,13910,13906,13910
Gas-Drift,23,float,0,13910,13890,13910
Gas-Drift,24,float,0,13910,13903,13910
Gas-Drift,25,float,0,13910,13905,13910
Gas-Drift,26,float,0,13910,13909,13910
Gas-Drift,27,float,0,13910,13908,13910
Gas-Drift,28,float,0,13910,13886,13910
Gas-Drift,29,float,0,13910,13902,13910
Gas-Drift,30,float,0,13910,13906,13910
Gas-Drift,31,float,0,13910,13875,13910
Gas-Drift,32,float,0,13910,13906,13910
Gas-Drift,33,float,0,13910,13899,13910
Gas-Drift,34,float,0,13910,13907,13910
Gas-Drift,35,float,0,13910,13908,13910
Gas-Drift,36,float,0,13910,13891,13910
Gas-Drift,37,float,0,13910,13907,13910
Gas-Drift,38,float,0,13910,13859,13910
Gas-Drift,39,float,0,13910,13903,13910
Gas-Drift,40,float,0,13910,13906,13910
Gas-Drift,41,float,0,13910,13888,13910
Gas-Drift,42,float,0,13910,13906,13910
Gas-Drift,43,float,0,13910,13885,13910
Gas-Drift,44,float,0,13910,13875,13910
Gas-Drift,45,float,0,13910,13897,13910
Gas-Drift,46,float,0,13910,13904,13910
Gas-Drift,47,float,0,13910,13835,13910
Gas-Drift,48,float,0,13910,13877,13910
