dataset,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
Buzzinsocialmedia_Twitter,1,float,0,583250,39407,583250
Buzzinsocialmedia_Twitter,2,float,0,583250,9349,583250
Buzzinsocialmedia_Twitter,3,float,0,583250,10077,583250
Buzzinsocialmedia_Twitter,4,float,0,583250,5811,583250
Buzzinsocialmedia_Twitter,5,float,0,583250,4340,583250
Buzzinsocialmedia_Twitter,6,float,0,583250,9986,583250
Buzzinsocialmedia_Twitter,7,float,0,583250,3815,583250
Buzzinsocialmedia_Twitter,8,float,0,583250,9090,583250
Buzzinsocialmedia_Twitter,9,float,0,583250,37782,583250
Buzzinsocialmedia_Twitter,10,float,0,583250,45177,583250
Buzzinsocialmedia_Twitter,11,float,0,583250,3734,583250
Buzzinsocialmedia_Twitter,12,float,0,583250,54668,583250
Buzzinsocialmedia_Twitter,13,float,0,583250,4376,583250
Buzzinsocialmedia_Twitter,14,float,0,583250,4125,583250
Buzzinsocialmedia_Twitter,15,float,0,583250,42497,583250
Buzzinsocialmedia_Twitter,16,float,0,583250,3957,583250
Buzzinsocialmedia_Twitter,17,float,0,583250,8621,583250
Buzzinsocialmedia_Twitter,18,float,0,583250,8123,583250
Buzzinsocialmedia_Twitter,19,float,0,583250,54881,583250
Buzzinsocialmedia_Twitter,20,float,0,583250,47746,583250
Buzzinsocialmedia_Twitter,21,float,0,583250,5344,583250
Buzzinsocialmedia_Twitter,22,float,0,583250,6242,583250
Buzzinsocialmedia_Twitter,23,float,0,583250,47608,583250
Buzzinsocialmedia_Twitter,24,float,0,583250,52049,583250
Buzzinsocialmedia_Twitter,25,float,0,583250,5604,583250
Buzzinsocialmedia_Twitter,26,float,0,583250,43341,583250
Buzzinsocialmedia_Twitter,27,float,0,583250,4249,583250
Buzzinsocialmedia_Twitter,28,float,0,583250,41808,583250
Buzzinsocialmedia_Twitter,29,float,0,583250,6150,583250
Buzzinsocialmedia_Twitter,30,float,0,583250,36415,583250
Buzzinsocialmedia_Twitter,31,float,0,583250,9708,583250
Buzzinsocialmedia_Twitter,32,float,0,583250,6031,583250
Buzzinsocialmedia_Twitter,33,float,0,583250,5408,583250
Buzzinsocialmedia_Twitter,34,float,0,583250,8839,583250
Buzzinsocialmedia_Twitter,35,float,0,583250,45332,583250
Buzzinsocialmedia_Twitter,36,float,0,583250,48872,583250
Buzzinsocialmedia_Twitter,37,int,0,583250,4410,583250
Buzzinsocialmedia_Twitter,38,int,0,583250,5412,583250
Buzzinsocialmedia_Twitter,39,int,0,583250,5837,583250
Buzzinsocialmedia_Twitter,40,int,0,583250,4896,583250
Buzzinsocialmedia_Twitter,41,int,0,583250,5259,583250
Buzzinsocialmedia_Twitter,42,int,0,583250,4417,583250
Buzzinsocialmedia_Twitter,43,int,0,583250,3847,583250
Buzzinsocialmedia_Twitter,44,int,0,583250,3009,583250
Buzzinsocialmedia_Twitter,45,int,0,583250,3299,583250
Buzzinsocialmedia_Twitter,46,int,0,583250,5682,583250
Buzzinsocialmedia_Twitter,47,int,0,583250,4451,583250
Buzzinsocialmedia_Twitter,48,int,0,583250,5656,583250
Buzzinsocialmedia_Twitter,49,int,0,583250,4562,583250
Buzzinsocialmedia_Twitter,50,int,0,583250,4930,583250
Buzzinsocialmedia_Twitter,51,int,0,583250,4144,583250
Buzzinsocialmedia_Twitter,52,int,0,583250,2797,583250
Buzzinsocialmedia_Twitter,53,int,0,583250,5812,583250
Buzzinsocialmedia_Twitter,54,int,0,583250,4740,583250
Buzzinsocialmedia_Twitter,55,int,0,583250,4723,583250
Buzzinsocialmedia_Twitter,56,int,0,583250,4359,583250
Buzzinsocialmedia_Twitter,57,int,0,583250,2505,583250
Buzzinsocialmedia_Twitter,58,int,0,583250,5577,583250
Buzzinsocialmedia_Twitter,59,int,0,583250,5162,583250
Buzzinsocialmedia_Twitter,60,int,0,583250,2551,583250
Buzzinsocialmedia_Twitter,61,int,0,583250,5656,583250
Buzzinsocialmedia_Twitter,62,int,0,583250,5435,583250
Buzzinsocialmedia_Twitter,63,int,0,583250,3758,583250
Buzzinsocialmedia_Twitter,64,int,0,583250,4373,583250
Buzzinsocialmedia_Twitter,65,int,0,583250,5671,583250
Buzzinsocialmedia_Twitter,66,int,0,583250,4762,583250
Buzzinsocialmedia_Twitter,67,int,0,583250,5123,583250
Buzzinsocialmedia_Twitter,68,int,0,583250,3176,583250
Buzzinsocialmedia_Twitter,69,int,0,583250,3299,583250
Buzzinsocialmedia_Twitter,70,int,0,583250,4492,583250
Buzzinsocialmedia_Twitter,71,int,0,583250,4889,583250
Buzzinsocialmedia_Twitter,72,bool,0,583250,2,583250
Buzzinsocialmedia_Twitter,73,bool,0,583250,2,583250
Buzzinsocialmedia_Twitter,74,bool,0,583250,2,583250
Buzzinsocialmedia_Twitter,75,bool,0,583250,2,583250
Buzzinsocialmedia_Twitter,76,bool,0,583250,2,583250
Buzzinsocialmedia_Twitter,77,bool,0,583250,2,583250
Buzzinsocialmedia_Twitter,78,bool,0,583250,2,583250
