id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,auc,balacc,logloss,models_ensemble_count,acc_final
bank-marketing,bank-marketing,AutoGluon,90s,0,binary,0.937211,auc,local,1.0.0,,2.1.7,2024-01-07T19:09:37,104.6,93.5,0.1,11,1203413128,,0.909319,0.937211,0.725755,0.194126,4,90.9319
bank-marketing,bank-marketing,H2OAutoML,90s,0,binary,0.935133,auc,local,3.44.0.3,,2.1.7,2024-01-07T19:11:33,111.5,92.3,0.3,19,846887625,,0.894942,0.935133,0.843129,0.19657,,89.4942
bank-marketing,bank-marketing,mljarsupervised,90s,0,binary,0.929463,auc,local,1.1.1,,2.1.7,2024-01-07T19:13:13,94.8,76.6,0.1,6,125299249,,0.906517,0.929463,0.752362,0.204783,,90.6517
bank-marketing,bank-marketing,constantpredictor,90s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T19:13:17,0.2,0.001,0.0001,1,1190969443,,0.882188,0.5,0.5,0.362549,,88.2188
bank-marketing,bank-marketing,RandomForest,90s,0,binary,0.92769,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T19:13:49,26.5,19,0.9,2000,290210691,,0.903863,0.92769,0.698535,0.207616,,90.3863
bank-marketing,bank-marketing,TPOT,90s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-07T19:17:04,191,,,,119398494,NoResultError: Interrupting thread MainThread [ident=140038526574592] after 180s timeout.,,,,,,0
shuttle,shuttle,AutoGluon,74s,0,multiclass,-0.00428516,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T19:18:28,79,76,0.2,5,2003641009,,0.998103,,0.963204,0.00428516,4,99.8103
shuttle,shuttle,H2OAutoML,74s,0,multiclass,-0.00184269,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-07T19:20:00,87.5,75.1,0.3,8,754513179,,0.99954,,0.786638,0.00184269,,99.954
shuttle,shuttle,mljarsupervised,74s,0,multiclass,-0.00113877,neg_logloss,local,1.1.1,,2.1.7,2024-01-07T19:21:41,97.1,88.9,0.06,4,1691340294,,0.999713,,0.987787,0.00113877,,99.9713
shuttle,shuttle,constantpredictor,74s,0,multiclass,-0.66128,neg_logloss,local,1.2.2,,2.1.7,2024-01-07T19:21:46,0.3,0.02,0.0001,1,1493953702,,0.789253,,0.142857,0.66128,,78.9253
