dataset,col_index,data_type,missing_values_count,distinct_values_count
dataset_4,1,float,0,193
dataset_4,2,float,0,196
dataset_4,3,float,0,182
dataset_4,4,float,0,208
dataset_4,5,float,0,203
dataset_4,6,float,0,205
dataset_4,7,float,0,177
dataset_4,8,float,0,207
dataset_4,9,float,0,205
dataset_4,10,float,0,154
dataset_4,11,float,0,190
dataset_4,12,float,0,206
dataset_4,13,float,0,205
dataset_4,14,float,0,129
dataset_4,15,float,0,202
dataset_4,16,float,0,203
dataset_4,17,float,0,205
dataset_4,18,float,0,196
dataset_4,19,float,0,193
dataset_4,20,float,0,204
dataset_4,21,float,0,205
dataset_4,22,float,0,206
dataset_4,23,float,0,202
dataset_4,24,float,0,206
dataset_4,25,float,0,160
dataset_4,26,float,0,207
dataset_4,27,float,0,201
dataset_4,28,float,0,124
dataset_4,29,float,0,204
dataset_4,30,float,0,205
dataset_4,31,float,0,206
dataset_4,32,float,0,122
dataset_4,33,float,0,203
dataset_4,34,float,0,205
dataset_4,35,float,0,197
dataset_4,36,float,0,198
dataset_4,37,float,0,199
dataset_4,38,float,0,119
dataset_4,39,float,0,190
dataset_4,40,float,0,202
dataset_4,41,float,0,198
dataset_4,42,float,0,201
dataset_4,43,float,0,200
dataset_4,44,float,0,199
dataset_4,45,float,0,204
dataset_4,46,float,0,194
dataset_4,47,float,0,144
dataset_4,48,float,0,195
dataset_4,49,float,0,134
dataset_4,50,float,0,203
dataset_4,51,float,0,121
dataset_4,52,float,0,203
dataset_4,53,float,0,206
dataset_4,54,float,0,204
dataset_4,55,float,0,109
dataset_4,56,float,0,134
dataset_4,57,float,0,202
dataset_4,58,float,0,206
dataset_4,59,float,0,194
dataset_4,60,float,0,181
dataset_4,61,bool,0,2
