dataset,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
Albert,1,bool,0,425240,2,425240
Albert,2,int,0,425240,442,425240
Albert,3,float,0,425240,3949,425240
Albert,4,int,0,425240,3103,425240
Albert,5,int,0,425240,3098,425240
Albert,6,int,0,425240,3099,425240
Albert,7,int,0,425240,3103,425240
Albert,8,int,0,425240,10227,425240
Albert,9,int,0,425240,22358,425240
Albert,10,int,0,425240,3,425240
Albert,11,int,0,425240,14,425240
Albert,12,int,0,425240,225,425240
Albert,13,int,0,425240,220,425240
Albert,14,int,0,425240,545,425240
Albert,15,int,0,425240,3539,425240
Albert,16,int,0,425240,7786,425240
Albert,17,int,0,425240,10,425240
Albert,18,int,0,425240,229,425240
Albert,19,int,0,425240,26,425240
Albert,20,int,0,425240,225,425240
Albert,21,int,0,425240,957,425240
Albert,22,int,0,425240,10230,425240
Albert,23,int,0,425240,26,425240
Albert,24,int,0,425240,10,425240
Albert,25,int,0,425240,26,425240
Albert,26,int,0,425240,14,425240
Albert,27,int,0,425240,22371,425240
Albert,28,int,0,425240,546,425240
Albert,29,int,0,425240,545,425240
Albert,30,int,0,425240,7774,425240
Albert,31,int,0,425240,4566,425240
Albert,32,int,0,425240,227,425240
Albert,33,int,0,425240,544,425240
Albert,34,int,0,425240,10235,425240
Albert,35,int,190,425050,174,425240
Albert,36,int,193,425047,169,425240
Albert,37,int,8454,416786,47036,425240
Albert,38,int,15005,410235,121504,425240
Albert,39,int,15078,410162,170907,425240
Albert,40,int,15078,410162,121478,425240
Albert,41,int,15078,410162,139751,425240
Albert,42,int,15078,410162,153819,425240
Albert,43,int,15078,410162,27265,425240
Albert,44,int,15078,410162,74499,425240
Albert,45,int,15089,410151,27181,425240
Albert,46,int,15123,410117,170897,425240
Albert,47,int,15684,409556,118,425240
Albert,48,float,15723,409517,1161,425240
Albert,49,int,15770,409470,2492,425240
Albert,50,int,15770,409470,117,425240
Albert,51,float,15770,409470,1149,425240
Albert,52,int,15773,409467,117,425240
Albert,53,float,15814,409426,1132,425240
Albert,54,int,15852,409388,118,425240
Albert,55,float,15875,409365,1151,425240
Albert,56,int,39010,386230,26342,425240
Albert,57,int,39101,386139,26380,425240
Albert,58,int,50089,375151,13,425240
Albert,59,int,50135,375105,13,425240
Albert,60,int,79253,345987,2783,425240
Albert,61,int,79362,345878,2766,425240
Albert,62,int,96050,329190,236,425240
Albert,63,float,96050,329190,122,425240
Albert,64,int,98508,326732,1218,425240
Albert,65,int,176110,249130,233,425240
Albert,66,float,176110,249130,10,425240
Albert,67,float,176385,248855,10,425240
Albert,68,int,192501,232739,61,425240
Albert,69,int,192652,232588,3,425240
Albert,70,int,192674,232566,59,425240
Albert,71,int,192700,232540,3,425240
Albert,72,int,192700,232540,60,425240
Albert,73,int,192700,232540,1654,425240
Albert,74,int,318809,106431,10,425240
Albert,75,int,320924,104316,132,425240
Albert,76,int,320967,104273,132,425240
Albert,77,int,321059,104181,136,425240
Albert,78,int,321145,104095,136,425240
Albert,79,int,321209,104031,133,425240
