dataset,col_index,data_type,with_dataset_description,missing_values_count,total_values_count,distinct_values_count,number_rows
road-safety,1,int,NO,0,363243,21,363243
road-safety,2,int,NO,0,363243,3,363243
road-safety,3,int,NO,0,363243,3,363243
road-safety,4,int,NO,0,363243,28,363243
road-safety,5,int,NO,0,363243,37,363243
road-safety,6,int,NO,0,363243,3,363243
road-safety,7,str,NO,0,363243,140056,363243
road-safety,8,int,NO,0,363243,38,363243
road-safety,9,int,NO,1,363242,12,363243
road-safety,10,int,NO,2,363241,10,363243
road-safety,11,int,NO,2,363241,11,363243
road-safety,12,int,NO,22,363221,6,363243
road-safety,13,int,NO,46,363197,5,363243
road-safety,14,int,NO,62,363181,20,363243
road-safety,15,int,NO,84,363159,9,363243
road-safety,16,int,NO,134,363109,2,363243
road-safety,17,int,NO,159,363084,9,363243
road-safety,18,int,NO,163,363080,12,363243
road-safety,19,int,NO,166,363077,3,363243
road-safety,20,int,NO,176,363067,6,363243
road-safety,21,int,NO,176,363067,10,363243
road-safety,22,int,NO,184,363059,18,363243
road-safety,23,int,NO,206,363037,5,363243
road-safety,24,int,NO,379,362864,6,363243
road-safety,25,int,NO,762,362481,3,363243
road-safety,26,int,NO,1483,361760,2,363243
road-safety,27,int,NO,5569,357674,11,363243
road-safety,28,int,NO,5569,357674,101,363243
road-safety,29,int,NO,35869,327374,11,363243
road-safety,30,int,NO,35869,327374,95,363243
road-safety,31,int,NO,39795,323448,3,363243
road-safety,32,int,NO,43377,319866,9,363243
road-safety,33,int,NO,43377,319866,5,363243
road-safety,34,int,NO,43377,319866,6,363243
road-safety,35,int,NO,43377,319866,21,363243
road-safety,36,str,NO,43377,319866,204,363243
road-safety,37,int,NO,43377,319866,3938,363243
road-safety,38,int,NO,43377,319866,49,363243
road-safety,39,int,NO,43377,319866,6,363243
road-safety,40,int,NO,43377,319866,15,363243
road-safety,41,date,NO,43377,319866,365,363243
road-safety,42,int,NO,43377,319866,7,363243
road-safety,43,int,NO,43377,319866,8,363243
road-safety,44,int,NO,43377,319866,3,363243
road-safety,45,int,NO,43377,319866,2,363243
road-safety,46,int,NO,43377,319866,356,363243
road-safety,47,int,NO,43379,319864,9,363243
road-safety,48,int,NO,43401,319842,3,363243
road-safety,49,str,NO,43421,319822,1439,363243
road-safety,50,float,NO,43450,319793,116292,363243
road-safety,51,int,NO,43450,319793,78609,363243
road-safety,52,float,NO,43450,319793,117588,363243
road-safety,53,int,NO,43450,319793,82205,363243
road-safety,54,int,NO,43590,319653,6,363243
road-safety,55,int,NO,43617,319626,8,363243
road-safety,56,int,NO,43679,319564,6,363243
road-safety,57,int,NO,43696,319547,3,363243
road-safety,58,int,NO,43893,319350,5,363243
road-safety,59,int,NO,44827,318416,3707,363243
road-safety,60,int,NO,60709,302534,3,363243
road-safety,61,str,NO,64485,298758,25979,363243
road-safety,62,int,NO,69577,293666,10,363243
road-safety,63,int,NO,92636,270607,11,363243
road-safety,64,int,NO,93346,269897,1140,363243
road-safety,65,int,NO,107105,256138,72,363243
road-safety,66,int,NO,174021,189222,4,363243
road-safety,67,int,NO,175042,188201,6,363243
