dataset,col_index,data_type,missing_values_count,distinct_values_count
dataset_4_rnc,1,float,0,160
dataset_4_rnc,2,float,0,203
dataset_4_rnc,3,float,0,201
dataset_4_rnc,4,float,0,196
dataset_4_rnc,5,float,0,197
dataset_4_rnc,6,float,0,154
dataset_4_rnc,7,float,0,177
dataset_4_rnc,8,float,0,205
dataset_4_rnc,9,float,0,124
dataset_4_rnc,10,float,0,199
dataset_4_rnc,11,float,0,204
dataset_4_rnc,12,float,0,206
dataset_4_rnc,13,float,0,198
dataset_4_rnc,14,float,0,119
dataset_4_rnc,15,float,0,207
dataset_4_rnc,16,float,0,204
dataset_4_rnc,17,float,0,202
dataset_4_rnc,18,float,0,196
dataset_4_rnc,19,float,0,201
dataset_4_rnc,20,float,0,195
dataset_4_rnc,21,float,0,182
dataset_4_rnc,22,float,0,205
dataset_4_rnc,23,float,0,199
dataset_4_rnc,24,float,0,193
dataset_4_rnc,25,float,0,129
dataset_4_rnc,26,float,0,190
dataset_4_rnc,27,float,0,207
dataset_4_rnc,28,float,0,134
dataset_4_rnc,29,float,0,206
dataset_4_rnc,30,float,0,205
dataset_4_rnc,31,float,0,109
dataset_4_rnc,32,float,0,204
dataset_4_rnc,33,float,0,122
dataset_4_rnc,34,float,0,181
dataset_4_rnc,35,float,0,121
dataset_4_rnc,36,float,0,203
dataset_4_rnc,37,float,0,206
dataset_4_rnc,38,float,0,202
dataset_4_rnc,39,float,0,205
dataset_4_rnc,40,float,0,205
dataset_4_rnc,41,float,0,205
dataset_4_rnc,42,float,0,206
dataset_4_rnc,43,float,0,203
dataset_4_rnc,44,float,0,208
dataset_4_rnc,45,float,0,202
dataset_4_rnc,46,float,0,190
dataset_4_rnc,47,float,0,205
dataset_4_rnc,48,float,0,203
dataset_4_rnc,49,float,0,202
dataset_4_rnc,50,float,0,206
dataset_4_rnc,51,float,0,206
dataset_4_rnc,52,float,0,204
dataset_4_rnc,53,float,0,198
dataset_4_rnc,54,float,0,194
dataset_4_rnc,55,float,0,144
dataset_4_rnc,56,float,0,194
dataset_4_rnc,57,float,0,134
dataset_4_rnc,58,float,0,203
dataset_4_rnc,59,float,0,193
dataset_4_rnc,60,float,0,200
dataset_4_rnc,61,bool,0,2
