dataset,col_index,data_type,with_dataset_description,missing_values_count,total_values_count,distinct_values_count,number_rows
dionis,1,int,NO,0,416188,16869,416188
dionis,2,int,NO,0,416188,1,416188
dionis,3,int,NO,0,416188,8279,416188
dionis,4,int,NO,0,416188,2620,416188
dionis,5,int,NO,0,416188,1459,416188
dionis,6,int,NO,0,416188,8624,416188
dionis,7,int,NO,0,416188,63618,416188
dionis,8,int,NO,0,416188,1886,416188
dionis,9,int,NO,0,416188,4541,416188
dionis,10,int,NO,0,416188,4925,416188
dionis,11,int,NO,0,416188,2967,416188
dionis,12,int,NO,0,416188,49007,416188
dionis,13,int,NO,0,416188,4471,416188
dionis,14,int,NO,0,416188,7276,416188
dionis,15,int,NO,0,416188,52856,416188
dionis,16,int,NO,0,416188,5006,416188
dionis,17,int,NO,0,416188,2254,416188
dionis,18,int,NO,0,416188,1182,416188
dionis,19,int,NO,0,416188,1,416188
dionis,20,int,NO,0,416188,11383,416188
dionis,21,int,NO,0,416188,9314,416188
dionis,22,int,NO,0,416188,4979,416188
dionis,23,int,NO,0,416188,1,416188
dionis,24,int,NO,0,416188,8165,416188
dionis,25,int,NO,0,416188,1694,416188
dionis,26,int,NO,0,416188,66076,416188
dionis,27,int,NO,0,416188,22748,416188
dionis,28,int,NO,0,416188,7747,416188
dionis,29,int,NO,0,416188,58054,416188
dionis,30,int,NO,0,416188,41067,416188
dionis,31,int,NO,0,416188,1565,416188
dionis,32,int,NO,0,416188,1,416188
dionis,33,int,NO,0,416188,1309,416188
dionis,34,int,NO,0,416188,3815,416188
dionis,35,int,NO,0,416188,40314,416188
dionis,36,int,NO,0,416188,58989,416188
dionis,37,int,NO,0,416188,9674,416188
dionis,38,int,NO,0,416188,8499,416188
dionis,39,int,NO,0,416188,6838,416188
dionis,40,int,NO,0,416188,6888,416188
dionis,41,int,NO,0,416188,6229,416188
dionis,42,int,NO,0,416188,58575,416188
dionis,43,int,NO,0,416188,8044,416188
dionis,44,int,NO,0,416188,16974,416188
dionis,45,int,NO,0,416188,9123,416188
dionis,46,int,NO,0,416188,55797,416188
dionis,47,int,NO,0,416188,1,416188
dionis,48,int,NO,0,416188,4925,416188
dionis,49,int,NO,0,416188,30659,416188
dionis,50,int,NO,0,416188,62447,416188
dionis,51,int,NO,0,416188,355,416188
dionis,52,int,NO,0,416188,4087,416188
dionis,53,int,NO,0,416188,34664,416188
dionis,54,int,NO,0,416188,82253,416188
dionis,55,int,NO,0,416188,59559,416188
dionis,56,int,NO,0,416188,7478,416188
dionis,57,int,NO,0,416188,20836,416188
dionis,58,int,NO,0,416188,38,416188
dionis,59,int,NO,0,416188,1,416188
dionis,60,int,NO,0,416188,34775,416188
dionis,61,int,NO,0,416188,61135,416188
