dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
drug-directory,YES,S,Random,0,1149,0,3,0,17
drug-directory,YES,SDVC,Random,0,1281,0,3,0,17
drug-directory,YES,SMVF,Random,0,1345,0,3,0,17
drug-directory,YES,SSN,Random,0,1264,0,3,0,17
drug-directory,YES,SCV,Random,0,1229,0,3,0,17
drug-directory,YES,SDVCMVF,Random,0,1501,0,3,0,17
drug-directory,YES,SDVCSN,Random,0,1400,0,3,0,17
drug-directory,YES,SMVFSN,Random,0,1463,0,3,0,17
drug-directory,YES,SMVFCV,Random,0,1428,0,3,0,17
drug-directory,YES,SSNCV,Random,0,1348,0,3,0,17
drug-directory,YES,ALL,Random,0,1588,0,3,0,17
drug-directory,YES,CatDB,Random,0,1610,0,3,0,17
drug-directory,NO,S,Random,0,1126,0,3,0,17
drug-directory,NO,SDVC,Random,0,1258,0,3,0,17
drug-directory,NO,SMVF,Random,0,1322,0,3,0,17
drug-directory,NO,SSN,Random,0,1241,0,3,0,17
drug-directory,NO,SCV,Random,0,1206,0,3,0,17
drug-directory,NO,SDVCMVF,Random,0,1478,0,3,0,17
drug-directory,NO,SDVCSN,Random,0,1377,0,3,0,17
drug-directory,NO,SMVFSN,Random,0,1440,0,3,0,17
drug-directory,NO,SMVFCV,Random,0,1405,0,3,0,17
drug-directory,NO,SSNCV,Random,0,1325,0,3,0,17
drug-directory,NO,ALL,Random,0,1565,0,3,0,17
drug-directory,NO,CatDB,Random,0,1587,0,3,0,17
