dataset,col_index,data_type,missing_values_count,distinct_values_count
dataset_2_rnc,1,str,0,4
dataset_2_rnc,2,str,0,10
dataset_2_rnc,3,str,0,4
dataset_2_rnc,4,str,0,2
dataset_2_rnc,5,str,0,5
dataset_2_rnc,6,str,0,4
dataset_2_rnc,7,str,0,3
dataset_2_rnc,8,str,814,2
dataset_2_rnc,9,str,0,5
dataset_2_rnc,10,str,0,2
dataset_2_rnc,11,str,0,4
dataset_2_rnc,12,str,907,2
dataset_2_rnc,13,str,0,5
dataset_2_rnc,14,str,596,1
dataset_2_rnc,15,int,0,53
dataset_2_rnc,16,int,0,2
dataset_2_rnc,17,int,0,33
dataset_2_rnc,18,int,0,4
dataset_2_rnc,19,int,0,4
dataset_2_rnc,20,int,0,4
dataset_2_rnc,21,int,0,921
