dataset,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
oml_dataset_74_rnc,1,int,0,416188,5006,416188
oml_dataset_74_rnc,2,int,0,416188,1,416188
oml_dataset_74_rnc,3,int,0,416188,4925,416188
oml_dataset_74_rnc,4,int,0,416188,1459,416188
oml_dataset_74_rnc,5,int,0,416188,1,416188
oml_dataset_74_rnc,6,int,0,416188,1,416188
oml_dataset_74_rnc,7,int,0,416188,1886,416188
oml_dataset_74_rnc,8,int,0,416188,7747,416188
oml_dataset_74_rnc,9,int,0,416188,1,416188
oml_dataset_74_rnc,10,int,0,416188,8499,416188
oml_dataset_74_rnc,11,int,0,416188,38,416188
oml_dataset_74_rnc,12,int,0,416188,34775,416188
oml_dataset_74_rnc,13,int,0,416188,55797,416188
oml_dataset_74_rnc,14,int,0,416188,9674,416188
oml_dataset_74_rnc,15,int,0,416188,59559,416188
oml_dataset_74_rnc,16,int,0,416188,3815,416188
oml_dataset_74_rnc,17,int,0,416188,4087,416188
oml_dataset_74_rnc,18,int,0,416188,4471,416188
oml_dataset_74_rnc,19,int,0,416188,1182,416188
oml_dataset_74_rnc,20,int,0,416188,62447,416188
oml_dataset_74_rnc,21,int,0,416188,1,416188
oml_dataset_74_rnc,22,int,0,416188,1,416188
oml_dataset_74_rnc,23,int,0,416188,58989,416188
oml_dataset_74_rnc,24,int,0,416188,2620,416188
oml_dataset_74_rnc,25,int,0,416188,9314,416188
oml_dataset_74_rnc,26,int,0,416188,20836,416188
oml_dataset_74_rnc,27,int,0,416188,4925,416188
oml_dataset_74_rnc,28,int,0,416188,1565,416188
oml_dataset_74_rnc,29,int,0,416188,66076,416188
oml_dataset_74_rnc,30,int,0,416188,2967,416188
oml_dataset_74_rnc,31,int,0,416188,4979,416188
oml_dataset_74_rnc,32,int,0,416188,11383,416188
oml_dataset_74_rnc,33,int,0,416188,49007,416188
oml_dataset_74_rnc,34,int,0,416188,6888,416188
oml_dataset_74_rnc,35,int,0,416188,4541,416188
oml_dataset_74_rnc,36,int,0,416188,7478,416188
oml_dataset_74_rnc,37,int,0,416188,8279,416188
oml_dataset_74_rnc,38,int,0,416188,7276,416188
oml_dataset_74_rnc,39,int,0,416188,52856,416188
oml_dataset_74_rnc,40,int,0,416188,6229,416188
oml_dataset_74_rnc,41,int,0,416188,16869,416188
oml_dataset_74_rnc,42,int,0,416188,30659,416188
oml_dataset_74_rnc,43,int,0,416188,58575,416188
oml_dataset_74_rnc,44,int,0,416188,1309,416188
oml_dataset_74_rnc,45,int,0,416188,58054,416188
oml_dataset_74_rnc,46,int,0,416188,22748,416188
oml_dataset_74_rnc,47,int,0,416188,63618,416188
oml_dataset_74_rnc,48,int,0,416188,16974,416188
oml_dataset_74_rnc,49,int,0,416188,61135,416188
oml_dataset_74_rnc,50,int,0,416188,8624,416188
oml_dataset_74_rnc,51,int,0,416188,40314,416188
oml_dataset_74_rnc,52,int,0,416188,82253,416188
oml_dataset_74_rnc,53,int,0,416188,8044,416188
oml_dataset_74_rnc,54,int,0,416188,34664,416188
oml_dataset_74_rnc,55,int,0,416188,2254,416188
oml_dataset_74_rnc,56,int,0,416188,9123,416188
oml_dataset_74_rnc,57,int,0,416188,6838,416188
oml_dataset_74_rnc,58,int,0,416188,8165,416188
oml_dataset_74_rnc,59,int,0,416188,1694,416188
oml_dataset_74_rnc,60,int,0,416188,41067,416188
oml_dataset_74_rnc,61,int,0,416188,355,416188
