dataset_name,col_index,data_type,with_dataset_description,missing_values_count,total_values_count,distinct_values_count,number_rows
MD-MIX-Mini,1,str,No,0,28240,845,28240
MD-MIX-Mini,2,int,No,0,28240,309,28240
MD-MIX-Mini,3,int,No,0,28240,281,28240
MD-MIX-Mini,4,float,No,0,28240,26247,28240
MD-MIX-Mini,5,int,No,0,28240,309,28240
MD-MIX-Mini,6,str,No,0,28240,4,28240
MD-MIX-Mini,7,str,No,0,28240,45,28240
MD-MIX-Mini,8,str,No,0,28240,22224,28240
MD-MIX-Mini,9,str,No,0,28240,1,28240
MD-MIX-Mini,10,str,No,0,28240,2,28240
MD-MIX-Mini,11,int,No,0,28240,1,28240
MD-MIX-Mini,12,str,No,0,28240,526,28240
MD-MIX-Mini,13,bool,No,0,28240,2,28240
MD-MIX-Mini,14,float,No,0,28240,1,28240
MD-MIX-Mini,15,float,No,0,28240,1,28240
MD-MIX-Mini,16,float,No,0,28240,1,28240
MD-MIX-Mini,17,float,No,0,28240,26247,28240
MD-MIX-Mini,18,float,No,0,28240,1,28240
MD-MIX-Mini,19,float,No,0,28240,1,28240
MD-MIX-Mini,20,float,No,0,28240,457,28240
MD-MIX-Mini,21,float,No,0,28240,26247,28240
MD-MIX-Mini,22,str,No,0,28240,2,28240
MD-MIX-Mini,23,int,No,0,28240,706,28240
MD-MIX-Mini,24,int,No,0,28240,1,28240
MD-MIX-Mini,25,str,No,0,28240,23,28240
MD-MIX-Mini,26,int,No,0,28240,251,28240
MD-MIX-Mini,27,str,No,0,28240,706,28240
MD-MIX-Mini,28,str,No,0,28240,28240,28240
MD-MIX-Mini,29,int,No,0,28240,1,28240
MD-MIX-Mini,30,int,No,0,28240,1,28240
MD-MIX-Mini,31,str,No,1,28239,803,28240
MD-MIX-Mini,32,float,No,4236,24004,412,28240
MD-MIX-Mini,33,int,No,14120,14120,7,28240
MD-MIX-Mini,34,int,No,14120,14120,7,28240
MD-MIX-Mini,35,str,No,14120,14120,763,28240
MD-MIX-Mini,36,str,No,14120,14120,679,28240
MD-MIX-Mini,37,int,No,14120,14120,5,28240
MD-MIX-Mini,38,int,No,14120,14120,1006,28240
MD-MIX-Mini,39,str,No,14120,14120,26,28240
MD-MIX-Mini,40,str,No,14120,14120,26,28240
MD-MIX-Mini,41,int,No,14120,14120,702,28240
MD-MIX-Mini,42,int,No,14120,14120,702,28240
MD-MIX-Mini,43,int,No,14120,14120,7,28240
MD-MIX-Mini,44,int,No,14120,14120,745,28240
MD-MIX-Mini,45,int,No,14120,14120,955,28240
MD-MIX-Mini,46,int,No,14120,14120,745,28240
MD-MIX-Mini,47,int,No,14120,14120,5,28240
MD-MIX-Mini,48,int,No,14120,14120,7,28240
MD-MIX-Mini,49,int,No,14120,14120,5,28240
MD-MIX-Mini,50,int,No,14120,14120,1006,28240
MD-MIX-Mini,51,int,No,14120,14120,5,28240
MD-MIX-Mini,52,int,No,14120,14120,955,28240
MD-MIX-Mini,53,str,No,15532,12708,2,28240
MD-MIX-Mini,54,int,No,15532,12708,2,28240
MD-MIX-Mini,55,str,No,19768,8472,1,28240
MD-MIX-Mini,56,int,No,19768,8472,1,28240
MD-MIX-Mini,57,int,No,22592,5648,582,28240
MD-MIX-Mini,58,int,No,22592,5648,5,28240
MD-MIX-Mini,59,int,No,22592,5648,559,28240
MD-MIX-Mini,60,int,No,22592,5648,559,28240
MD-MIX-Mini,61,str,No,22592,5648,26,28240
MD-MIX-Mini,62,int,No,22592,5648,7,28240
MD-MIX-Mini,63,int,No,22592,5648,582,28240
MD-MIX-Mini,64,int,No,22592,5648,5,28240
MD-MIX-Mini,65,int,No,22592,5648,7,28240
MD-MIX-Mini,66,float,No,24004,4236,202,28240
MD-MIX-Mini,67,str,No,26828,1412,337,28240
MD-MIX-Mini,68,str,No,26828,1412,1377,28240
MD-MIX-Mini,69,str,No,26828,1412,268,28240
