dataset_name,col_index,data_type,with_dataset_description,missing_values_count,total_values_count,distinct_values_count,number_rows
albert,1,int,No,0,425240,442,425240
albert,2,int,No,0,425240,229,425240
albert,3,int,No,0,425240,22371,425240
albert,4,int,No,0,425240,14,425240
albert,5,int,No,0,425240,225,425240
albert,6,int,No,0,425240,4566,425240
albert,7,int,No,0,425240,225,425240
albert,8,int,No,0,425240,10,425240
albert,9,int,No,0,425240,3,425240
albert,10,int,No,0,425240,14,425240
albert,11,int,No,0,425240,3539,425240
albert,12,float,No,0,425240,3949,425240
albert,13,int,No,0,425240,3099,425240
albert,14,int,No,0,425240,7786,425240
albert,15,int,No,0,425240,3103,425240
albert,16,int,No,0,425240,10227,425240
albert,17,int,No,0,425240,26,425240
albert,18,int,No,0,425240,3098,425240
albert,19,int,No,0,425240,545,425240
albert,20,int,No,0,425240,227,425240
albert,21,int,No,0,425240,545,425240
albert,22,int,No,0,425240,10,425240
albert,23,int,No,0,425240,7774,425240
albert,24,int,No,0,425240,26,425240
albert,25,int,No,0,425240,10230,425240
albert,26,int,No,0,425240,3103,425240
albert,27,int,No,0,425240,26,425240
albert,28,int,No,0,425240,10235,425240
albert,29,bool,No,0,425240,2,425240
albert,30,int,No,0,425240,544,425240
albert,31,int,No,0,425240,546,425240
albert,32,int,No,0,425240,22358,425240
albert,33,int,No,0,425240,220,425240
albert,34,int,No,0,425240,957,425240
albert,35,int,No,190,425050,174,425240
albert,36,int,No,193,425047,169,425240
albert,37,int,No,8454,416786,47036,425240
albert,38,int,No,15005,410235,121504,425240
albert,39,int,No,15078,410162,153819,425240
albert,40,int,No,15078,410162,27265,425240
albert,41,int,No,15078,410162,139751,425240
albert,42,int,No,15078,410162,170907,425240
albert,43,int,No,15078,410162,74499,425240
albert,44,int,No,15078,410162,121478,425240
albert,45,int,No,15089,410151,27181,425240
albert,46,int,No,15123,410117,170897,425240
albert,47,int,No,15684,409556,118,425240
albert,48,float,No,15723,409517,1161,425240
albert,49,int,No,15770,409470,117,425240
albert,50,float,No,15770,409470,1149,425240
albert,51,int,No,15770,409470,2492,425240
albert,52,int,No,15773,409467,117,425240
albert,53,float,No,15814,409426,1132,425240
albert,54,int,No,15852,409388,118,425240
albert,55,float,No,15875,409365,1151,425240
albert,56,int,No,39010,386230,26342,425240
albert,57,int,No,39101,386139,26380,425240
albert,58,int,No,50089,375151,13,425240
albert,59,int,No,50135,375105,13,425240
albert,60,int,No,79253,345987,2783,425240
albert,61,int,No,79362,345878,2766,425240
albert,62,float,No,96050,329190,122,425240
albert,63,int,No,96050,329190,236,425240
albert,64,int,No,98508,326732,1218,425240
albert,65,int,No,176110,249130,233,425240
albert,66,float,No,176110,249130,10,425240
albert,67,float,No,176385,248855,10,425240
albert,68,int,No,192501,232739,61,425240
albert,69,int,No,192652,232588,3,425240
albert,70,int,No,192674,232566,59,425240
albert,71,int,No,192700,232540,1654,425240
albert,72,int,No,192700,232540,3,425240
albert,73,int,No,192700,232540,60,425240
albert,74,int,No,318809,106431,10,425240
albert,75,int,No,320924,104316,132,425240
albert,76,int,No,320967,104273,132,425240
albert,77,int,No,321059,104181,136,425240
albert,78,int,No,321145,104095,136,425240
albert,79,int,No,321209,104031,133,425240
