dataset_name,config,task_type,status,number_iteration,pipeline_gen_time,execution_time,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse
albert,CatDB,binary,True,1,68.46276783943176,1954.2134547233584,1.0,1.0,-1.0,-1.0,-1.0,0.6560138588404979,0.6532331349911892,-1.0,-1.0,-1.0
Click_prediction_small,CatDB,binary,True,2,22.20392394065857,20796.422761678696,0.999819766597744,0.9994586396387494,-1.0,-1.0,-1.0,0.831039529524067,0.2966801664432141,-1.0,-1.0,-1.0
Census-Augmented,CatDB,binary,True,18,29.17640233039856,193.8587527275085,0.9999828571428572,0.999972781338886,-1.0,-1.0,-1.0,0.88218,0.8100147275405007,-1.0,-1.0,-1.0
BNG_heart-statlog,CatDB,binary,True,2,23.07355380058289,26.189679384231567,0.9999642857142856,0.9999642856395314,-1.0,-1.0,-1.0,0.8966466666666667,0.8965441556461947,-1.0,-1.0,-1.0
KDDCup99_full,CatDB,multiclass,True,1,36.19973659515381,182.23107385635376,0.999997375252304,-1.0,5.387481807518996e-05,-1.0,-1.0,0.999932631521643,-1.0,0.0003864462195402,-1.0,-1.0
road-safety,CatDB,multiclass,True,4,31.59526634216309,108.17393946647644,0.999929209108428,-1.0,0.1215751605433057,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
drug-directory,CatDB,multiclass,True,2,21.598881244659424,62.72606706619263,0.9985145573380868,-1.0,0.0153364321405962,-1.0,-1.0,0.9826979065576044,-1.0,0.121785736709872,-1.0,-1.0
okcupid-stem,CatDB,multiclass,True,1,21.97250270843506,3.478203296661377,0.9999156165616562,-1.0,0.155113374139287,-1.0,-1.0,0.7440441031699153,-1.0,0.6340232786740551,-1.0,-1.0
walking-activity,CatDB,multiclass,True,2,25.605583906173703,281.821937084198,1.0,-1.0,0.2663494578319663,-1.0,-1.0,0.5638616071428572,-1.0,1.6773819408887485,-1.0,-1.0
PASS,CatDB,regression,True,3,23.40807795524597,198239.3233017921,-1.0,-1.0,-1.0,0.8836025564846098,8380.567667011273,-1.0,-1.0,-1.0,-0.0818293048544904,26166.49287679257
aloi,CatDB,regression,True,3,39.65101408958435,269.46466279029846,-1.0,-1.0,-1.0,0.9707173796307292,49.48978947427279,-1.0,-1.0,-1.0,0.8110142261005893,124.94860326524092
MD_MIX_Mini_Copy,CatDB,regression,True,3,51.70058298110962,27.76791739463806,-1.0,-1.0,-1.0,0.9999968200356476,5.914364022499316,-1.0,-1.0,-1.0,0.9999786981579428,15.457559287764948
dionis,CatDB,regression,True,2,42.11495733261109,1621.719847202301,-1.0,-1.0,-1.0,0.9710731654409536,17.481609387891478,-1.0,-1.0,-1.0,0.796295582736613,46.46385583161558
Meta_Album_BRD_Extended,CatDB,regression,True,1,22.657038688659668,20.04039239883423,-1.0,-1.0,-1.0,0.7952521588162024,41.43056567762501,-1.0,-1.0,-1.0,-0.4490159169963268,109.9344421522467
