dataset_name,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
Midwest-Survey,1,str,0,2778,2,2778
Midwest-Survey,2,str,0,2778,2,2778
Midwest-Survey,3,str,0,2778,2,2778
Midwest-Survey,4,str,0,2778,2,2778
Midwest-Survey,5,str,0,2778,2,2778
Midwest-Survey,6,str,0,2778,2,2778
Midwest-Survey,7,str,0,2778,2,2778
Midwest-Survey,8,str,0,2778,2,2778
Midwest-Survey,9,str,0,2778,4,2778
Midwest-Survey,10,str,0,2778,2,2778
Midwest-Survey,11,str,0,2778,2,2778
Midwest-Survey,12,str,0,2778,2,2778
Midwest-Survey,13,int,0,2778,2778,2778
Midwest-Survey,14,str,0,2778,2,2778
Midwest-Survey,15,str,0,2778,2,2778
Midwest-Survey,16,str,0,2778,2,2778
Midwest-Survey,17,str,0,2778,2,2778
Midwest-Survey,18,str,0,2778,2,2778
Midwest-Survey,19,str,0,2778,2,2778
Midwest-Survey,20,str,0,2778,2,2778
Midwest-Survey,21,str,0,2778,2,2778
Midwest-Survey,22,str,0,2778,2,2778
Midwest-Survey,23,str,1,2777,1008,2778
Midwest-Survey,24,int,261,2517,2089,2778
Midwest-Survey,25,str,275,2503,4,2778
Midwest-Survey,26,str,275,2503,2,2778
Midwest-Survey,27,str,284,2494,9,2778
Midwest-Survey,28,str,305,2473,5,2778
Midwest-Survey,29,str,343,2435,5,2778
