dataset_name,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
Airline,1,str,0,445827,52,445827
Airline,2,str,0,445827,273,445827
Airline,3,date,0,445827,31,445827
Airline,4,int,0,445827,12,445827
Airline,5,int,0,445827,1,445827
Airline,6,int,0,445827,294,445827
Airline,7,int,0,445827,1,445827
Airline,8,int,0,445827,4,445827
Airline,9,bool,0,445827,2,445827
Airline,10,int,0,445827,52,445827
Airline,11,int,0,445827,7,445827
Airline,12,int,0,445827,31,445827
Airline,13,int,0,445827,273,445827
Airline,14,int,0,445827,273,445827
Airline,15,int,0,445827,1382,445827
Airline,16,str,0,445827,12,445827
Airline,17,int,0,445827,52,445827
Airline,18,int,0,445827,294,445827
Airline,19,int,0,445827,1,445827
Airline,20,int,0,445827,1,445827
Airline,21,int,0,445827,448,445827
Airline,22,int,0,445827,52,445827
Airline,23,int,0,445827,6659,445827
Airline,24,int,0,445827,294,445827
Airline,25,int,0,445827,52,445827
Airline,26,int,0,445827,294,445827
Airline,27,int,0,445827,1214,445827
Airline,28,int,0,445827,1246,445827
Airline,29,str,0,445827,19,445827
Airline,30,str,0,445827,11,445827
Airline,31,str,0,445827,19,445827
Airline,32,int,0,445827,11,445827
Airline,33,str,0,445827,294,445827
Airline,34,bool,0,445827,2,445827
Airline,35,str,0,445827,290,445827
Airline,36,str,0,445827,2,445827
Airline,37,str,0,445827,294,445827
Airline,38,str,0,445827,52,445827
Airline,39,str,0,445827,52,445827
Airline,40,str,0,445827,294,445827
Airline,41,str,0,445827,294,445827
Airline,42,str,0,445827,4,445827
Airline,43,str,0,445827,294,445827
Airline,44,str,0,445827,273,445827
Airline,45,str,0,445827,1,445827
Airline,46,str,0,445827,7,445827
Airline,47,str,0,445827,294,445827
Airline,48,str,0,445827,12,445827
Airline,49,str,0,445827,12,445827
Airline,50,str,0,445827,290,445827
Airline,51,str,0,445827,52,445827
Airline,52,str,0,445827,52,445827
Airline,53,str,0,445827,2,445827
Airline,54,str,0,445827,52,445827
Airline,55,str,0,445827,52,445827
Airline,56,str,0,445827,52,445827
Airline,57,str,0,445827,19,445827
Airline,58,str,0,445827,52,445827
Airline,59,str,0,445827,294,445827
Airline,60,str,0,445827,1,445827
Airline,61,str,0,445827,12,445827
Airline,62,str,0,445827,52,445827
Airline,63,str,4244,441583,4238,445827
Airline,64,int,11473,434354,15,445827
Airline,65,int,11473,434354,2,445827
Airline,66,str,11473,434354,2,445827
Airline,67,int,11473,434354,714,445827
Airline,68,str,11473,434354,15,445827
Airline,69,int,11473,434354,1418,445827
Airline,70,int,11473,434354,671,445827
Airline,71,int,11600,434227,1426,445827
Airline,72,int,11600,434227,151,445827
Airline,73,int,11907,433920,1440,445827
Airline,74,int,11907,433920,1440,445827
Airline,75,int,11907,433920,122,445827
Airline,76,int,12529,433298,735,445827
Airline,77,int,12529,433298,2,445827
Airline,78,int,12529,433298,15,445827
Airline,79,str,12529,433298,2,445827
Airline,80,str,12529,433298,15,445827
Airline,81,int,12529,433298,660,445827
Airline,82,int,12529,433298,637,445827
Airline,83,int,12529,433298,613,445827
Airline,84,int,374945,70882,391,445827
Airline,85,int,374945,70882,579,445827
Airline,86,int,374945,70882,314,445827
Airline,87,int,374945,70882,295,445827
Airline,88,int,374945,70882,57,445827
Airline,89,str,434162,11665,3,445827
Airline,90,str,434162,11665,3,445827
Airline,91,int,443275,2552,147,445827
Airline,92,int,443275,2552,149,445827
Airline,93,int,443275,2552,976,445827
Airline,94,str,444898,929,147,445827
Airline,95,int,444898,929,99,445827
Airline,96,str,444898,929,147,445827
Airline,97,int,444898,929,147,445827
Airline,98,int,444898,929,147,445827
Airline,99,int,444898,929,623,445827
Airline,100,str,444898,929,147,445827
Airline,101,int,444898,929,104,445827
Airline,102,int,444963,864,2,445827
Airline,103,int,444963,864,130,445827
Airline,104,int,445199,628,471,445827
Airline,105,str,445199,628,583,445827
Airline,106,int,445205,622,281,445827
Airline,107,int,445205,622,347,445827
Airline,108,int,445821,6,5,445827
Airline,109,int,445821,6,5,445827
Airline,110,str,445821,6,5,445827
Airline,111,str,445821,6,5,445827
Airline,112,int,445821,6,4,445827
Airline,113,int,445821,6,6,445827
Airline,114,str,445821,6,5,445827
Airline,115,int,445821,6,4,445827
