dataset,col_index,data_type,missing_values_count,distinct_values_count
Sonar,1,float,0,134
Sonar,2,float,0,201
Sonar,3,float,0,177
Sonar,4,float,0,204
Sonar,5,float,0,195
Sonar,6,float,0,204
Sonar,7,float,0,202
Sonar,8,float,0,205
Sonar,9,float,0,201
Sonar,10,float,0,203
Sonar,11,float,0,190
Sonar,12,float,0,205
Sonar,13,float,0,206
Sonar,14,float,0,205
Sonar,15,float,0,204
Sonar,16,float,0,121
Sonar,17,float,0,194
Sonar,18,float,0,203
Sonar,19,float,0,208
Sonar,20,float,0,193
Sonar,21,float,0,190
Sonar,22,float,0,198
Sonar,23,float,0,199
Sonar,24,float,0,206
Sonar,25,float,0,181
Sonar,26,float,0,193
Sonar,27,float,0,202
Sonar,28,float,0,207
Sonar,29,float,0,198
Sonar,30,float,0,202
Sonar,31,float,0,204
Sonar,32,float,0,144
Sonar,33,float,0,205
Sonar,34,float,0,203
Sonar,35,float,0,154
Sonar,36,float,0,182
Sonar,37,float,0,203
Sonar,38,float,0,206
Sonar,39,float,0,129
Sonar,40,float,0,200
Sonar,41,float,0,202
Sonar,42,float,0,205
Sonar,43,float,0,124
Sonar,44,float,0,196
Sonar,45,float,0,206
Sonar,46,float,0,205
Sonar,47,float,0,194
Sonar,48,float,0,160
Sonar,49,float,0,206
Sonar,50,float,0,122
Sonar,51,float,0,206
Sonar,52,float,0,203
Sonar,53,float,0,205
Sonar,54,float,0,119
Sonar,55,float,0,196
Sonar,56,float,0,197
Sonar,57,float,0,207
Sonar,58,float,0,134
Sonar,59,float,0,199
Sonar,60,float,0,109
Sonar,61,bool,0,2
