dataset,col_index,data_type,missing_values_count,distinct_values_count
dataset_3_rnc,1,float,15814,1132
dataset_3_rnc,2,float,176385,10
dataset_3_rnc,3,float,15770,1149
dataset_3_rnc,4,float,15723,1161
dataset_3_rnc,5,float,0,3949
dataset_3_rnc,6,float,96050,122
dataset_3_rnc,7,float,15875,1151
dataset_3_rnc,8,float,176110,10
dataset_3_rnc,9,int,0,10227
dataset_3_rnc,10,int,98508,1218
dataset_3_rnc,11,int,320924,132
dataset_3_rnc,12,int,0,220
dataset_3_rnc,13,int,0,26
dataset_3_rnc,14,int,50135,13
dataset_3_rnc,15,int,0,14
dataset_3_rnc,16,int,0,546
dataset_3_rnc,17,int,321145,136
dataset_3_rnc,18,int,15773,117
dataset_3_rnc,19,int,192652,3
dataset_3_rnc,20,int,0,26
dataset_3_rnc,21,int,0,225
dataset_3_rnc,22,int,0,7786
dataset_3_rnc,23,int,192700,3
dataset_3_rnc,24,int,0,227
dataset_3_rnc,25,int,0,957
dataset_3_rnc,26,int,0,22358
dataset_3_rnc,27,int,96050,236
dataset_3_rnc,28,int,321059,136
dataset_3_rnc,29,int,0,3
dataset_3_rnc,30,int,0,10
dataset_3_rnc,31,int,0,225
dataset_3_rnc,32,int,0,26
dataset_3_rnc,33,int,15078,27265
dataset_3_rnc,34,int,190,174
dataset_3_rnc,35,int,0,3099
dataset_3_rnc,36,int,192501,61
dataset_3_rnc,37,int,15078,121478
dataset_3_rnc,38,int,15089,27181
dataset_3_rnc,39,int,321209,133
dataset_3_rnc,40,int,15770,117
dataset_3_rnc,41,int,176110,233
dataset_3_rnc,42,int,0,3098
dataset_3_rnc,43,int,0,4566
dataset_3_rnc,44,int,193,169
dataset_3_rnc,45,int,15852,118
dataset_3_rnc,46,int,0,545
dataset_3_rnc,47,int,0,3539
dataset_3_rnc,48,int,39101,26380
dataset_3_rnc,49,int,15078,170907
dataset_3_rnc,50,int,320967,132
dataset_3_rnc,51,int,0,3103
dataset_3_rnc,52,int,0,10235
dataset_3_rnc,53,int,39010,26342
dataset_3_rnc,54,int,0,229
dataset_3_rnc,55,int,0,10230
dataset_3_rnc,56,int,50089,13
dataset_3_rnc,57,int,15078,74499
dataset_3_rnc,58,int,8454,47036
dataset_3_rnc,59,int,0,544
dataset_3_rnc,60,int,192700,60
dataset_3_rnc,61,int,79253,2783
dataset_3_rnc,62,int,15078,153819
dataset_3_rnc,63,int,15005,121504
dataset_3_rnc,64,int,79362,2766
dataset_3_rnc,65,int,15123,170897
dataset_3_rnc,66,int,0,22371
dataset_3_rnc,67,int,0,14
dataset_3_rnc,68,int,15770,2492
dataset_3_rnc,69,int,0,442
dataset_3_rnc,70,int,0,545
dataset_3_rnc,71,int,0,7774
dataset_3_rnc,72,int,318809,10
dataset_3_rnc,73,int,15078,139751
dataset_3_rnc,74,int,15684,118
dataset_3_rnc,75,int,192674,59
dataset_3_rnc,76,int,0,3103
dataset_3_rnc,77,int,0,10
dataset_3_rnc,78,int,192700,1654
dataset_3_rnc,79,bool,0,2
