dataset,col_index,data_type,missing_values_count,distinct_values_count
horsecolic,1,float,198,37
horsecolic,2,float,29,50
horsecolic,3,float,33,81
horsecolic,4,float,247,20
horsecolic,5,float,60,40
horsecolic,6,int,104,3
horsecolic,7,int,118,5
horsecolic,8,int,165,3
horsecolic,9,int,55,5
horsecolic,10,int,47,6
horsecolic,11,int,0,284
horsecolic,12,int,0,2
horsecolic,13,int,44,4
horsecolic,14,int,106,3
horsecolic,15,int,56,4
horsecolic,16,int,0,2
horsecolic,17,int,1,3
horsecolic,18,int,58,40
horsecolic,19,int,0,2
horsecolic,20,int,69,4
horsecolic,21,int,1,2
horsecolic,22,int,0,61
horsecolic,23,int,32,3
horsecolic,24,int,56,4
horsecolic,25,int,24,52
horsecolic,26,int,0,6
horsecolic,27,int,102,4
horsecolic,28,bool,0,2
