Balance-Scale,gemini-1.5-pro-latest,CatDB,Random,0,multiclass,2466110
Balance-Scale,gemini-1.5-pro-latest,CatDBChain,Random,0,multiclass,1025198
Breast-w,gemini-1.5-pro-latest,CatDB,Random,0,binary,3459120
Breast-w,gemini-1.5-pro-latest,CatDBChain,Random,0,binary,440527
CMC,gemini-1.5-pro-latest,CatDB,Random,0,multiclass,2288170
CMC,gemini-1.5-pro-latest,CatDBChain,Random,0,multiclass,538509
Credit-g,gemini-1.5-pro-latest,CatDB,Random,0,binary,553466
Credit-g,gemini-1.5-pro-latest,CatDBChain,Random,0,binary,657387
Diabetes,gemini-1.5-pro-latest,CatDB,Random,0,binary,4193936
Diabetes,gemini-1.5-pro-latest,CatDBChain,Random,0,binary,550286
Tic-Tac-Toe,gemini-1.5-pro-latest,CatDB,Random,0,binary,925492
Tic-Tac-Toe,gemini-1.5-pro-latest,CatDBChain,Random,0,binary,510867
Eucalyptus,gemini-1.5-pro-latest,CatDB,Random,0,multiclass,1111795
Eucalyptus,gemini-1.5-pro-latest,CatDBChain,Random,0,multiclass,68859132
PC1,gemini-1.5-pro-latest,CatDB,Random,0,binary,567934
PC1,gemini-1.5-pro-latest,CatDBChain,Random,0,binary,990781
Airlines,gemini-1.5-pro-latest,CatDB,Random,0,binary,1225155
Airlines,gemini-1.5-pro-latest,CatDBChain,Random,0,binary,390077
Jungle-Chess,gemini-1.5-pro-latest,CatDB,Random,0,multiclass,614343
Jungle-Chess,gemini-1.5-pro-latest,CatDBChain,Random,0,multiclass,795408
