dataset_name,col_index,data_type,with_dataset_description,missing_values_count,total_values_count,distinct_values_count,number_rows
aloi,1,int,No,0,108000,9,108000
aloi,2,int,No,0,108000,7,108000
aloi,3,int,No,0,108000,9,108000
aloi,4,int,No,0,108000,8,108000
aloi,5,int,No,0,108000,9,108000
aloi,6,int,No,0,108000,10,108000
aloi,7,int,No,0,108000,9,108000
aloi,8,int,No,0,108000,9,108000
aloi,9,int,No,0,108000,10,108000
aloi,10,int,No,0,108000,7,108000
aloi,11,int,No,0,108000,10,108000
aloi,12,int,No,0,108000,10,108000
aloi,13,int,No,0,108000,10,108000
aloi,14,int,No,0,108000,9,108000
aloi,15,int,No,0,108000,10,108000
aloi,16,int,No,0,108000,4,108000
aloi,17,int,No,0,108000,1000,108000
aloi,18,int,No,0,108000,9,108000
aloi,19,int,No,0,108000,9,108000
aloi,20,int,No,0,108000,10,108000
aloi,21,int,No,0,108000,9,108000
aloi,22,int,No,0,108000,10,108000
aloi,23,int,No,0,108000,9,108000
aloi,24,int,No,0,108000,7,108000
aloi,25,int,No,0,108000,10,108000
aloi,26,int,No,0,108000,10,108000
aloi,27,int,No,0,108000,10,108000
aloi,28,int,No,0,108000,9,108000
aloi,29,int,No,0,108000,9,108000
aloi,30,int,No,0,108000,10,108000
aloi,31,int,No,0,108000,7,108000
aloi,32,int,No,0,108000,10,108000
aloi,33,int,No,0,108000,10,108000
aloi,34,int,No,0,108000,5,108000
aloi,35,int,No,0,108000,9,108000
aloi,36,int,No,0,108000,10,108000
aloi,37,int,No,0,108000,10,108000
aloi,38,int,No,0,108000,10,108000
aloi,39,int,No,0,108000,9,108000
aloi,40,int,No,0,108000,8,108000
aloi,41,int,No,0,108000,9,108000
aloi,42,int,No,0,108000,8,108000
aloi,43,int,No,0,108000,9,108000
aloi,44,int,No,0,108000,9,108000
aloi,45,int,No,0,108000,9,108000
aloi,46,int,No,0,108000,10,108000
aloi,47,int,No,0,108000,9,108000
aloi,48,int,No,0,108000,10,108000
aloi,49,int,No,0,108000,8,108000
aloi,50,int,No,0,108000,8,108000
aloi,51,int,No,0,108000,10,108000
aloi,52,int,No,0,108000,9,108000
aloi,53,int,No,0,108000,9,108000
aloi,54,int,No,0,108000,9,108000
aloi,55,int,No,0,108000,10,108000
aloi,56,int,No,0,108000,9,108000
aloi,57,int,No,0,108000,10,108000
aloi,58,int,No,0,108000,10,108000
aloi,59,int,No,0,108000,10,108000
aloi,60,int,No,0,108000,9,108000
aloi,61,int,No,0,108000,10,108000
aloi,62,int,No,0,108000,10,108000
aloi,63,int,No,0,108000,8,108000
aloi,64,int,No,0,108000,9,108000
aloi,65,int,No,0,108000,4,108000
aloi,66,int,No,0,108000,10,108000
aloi,67,int,No,0,108000,7,108000
aloi,68,int,No,0,108000,10,108000
aloi,69,int,No,0,108000,3,108000
aloi,70,int,No,0,108000,9,108000
aloi,71,int,No,0,108000,10,108000
aloi,72,int,No,0,108000,8,108000
aloi,73,int,No,0,108000,10,108000
aloi,74,int,No,0,108000,10,108000
aloi,75,int,No,0,108000,10,108000
aloi,76,int,No,0,108000,9,108000
aloi,77,int,No,0,108000,10,108000
aloi,78,int,No,0,108000,10,108000
aloi,79,int,No,0,108000,9,108000
aloi,80,int,No,0,108000,9,108000
aloi,81,int,No,0,108000,10,108000
aloi,82,int,No,0,108000,9,108000
aloi,83,int,No,0,108000,10,108000
aloi,84,int,No,0,108000,10,108000
aloi,85,int,No,0,108000,10,108000
aloi,86,int,No,0,108000,10,108000
aloi,87,int,No,0,108000,10,108000
aloi,88,int,No,0,108000,10,108000
aloi,89,int,No,0,108000,8,108000
aloi,90,int,No,0,108000,10,108000
aloi,91,int,No,0,108000,8,108000
aloi,92,int,No,0,108000,10,108000
aloi,93,int,No,0,108000,10,108000
aloi,94,int,No,0,108000,10,108000
aloi,95,int,No,0,108000,10,108000
aloi,96,int,No,0,108000,10,108000
aloi,97,int,No,0,108000,10,108000
aloi,98,int,No,0,108000,8,108000
aloi,99,int,No,0,108000,9,108000
aloi,100,int,No,0,108000,10,108000
aloi,101,int,No,0,108000,10,108000
aloi,102,int,No,0,108000,9,108000
aloi,103,int,No,0,108000,9,108000
aloi,104,int,No,0,108000,9,108000
aloi,105,int,No,0,108000,10,108000
aloi,106,int,No,0,108000,9,108000
aloi,107,int,No,0,108000,10,108000
aloi,108,int,No,0,108000,10,108000
aloi,109,int,No,0,108000,10,108000
aloi,110,int,No,0,108000,10,108000
aloi,111,int,No,0,108000,10,108000
aloi,112,int,No,0,108000,8,108000
aloi,113,int,No,0,108000,10,108000
aloi,114,int,No,0,108000,9,108000
aloi,115,int,No,0,108000,10,108000
aloi,116,int,No,0,108000,9,108000
aloi,117,int,No,0,108000,10,108000
aloi,118,int,No,0,108000,8,108000
aloi,119,int,No,0,108000,10,108000
aloi,120,int,No,0,108000,8,108000
aloi,121,int,No,0,108000,10,108000
aloi,122,int,No,0,108000,10,108000
aloi,123,int,No,0,108000,10,108000
aloi,124,int,No,0,108000,9,108000
aloi,125,int,No,0,108000,10,108000
aloi,126,int,No,0,108000,8,108000
aloi,127,int,No,0,108000,8,108000
aloi,128,int,No,0,108000,8,108000
aloi,129,int,No,0,108000,9,108000
