dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,ID
Diabetes,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,2,Yes,0.0059587955474853,18.876903533935547,13.79569411277771,0.2643015384674072,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.8440228145733908,-2.0,-2.0,0.765625,0.628099173553719,-2.0,-2.0,-2.0,2548,4119,Gen-and-Run-Pipeline,3
Diabetes,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,2,Yes,0.0059587955474853,17.294811010360718,13.372254610061646,0.2295536994934082,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.8414037946688394,-2.0,-2.0,0.796875,0.6776859504132231,-2.0,-2.0,-2.0,2548,4243,Gen-and-Run-Pipeline,3
Diabetes,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,2,Yes,0.0059587955474853,19.191043615341187,14.06753921508789,0.200641393661499,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7291933418693983,-2.0,-2.0,0.7760416666666666,0.6446280991735537,-2.0,-2.0,-2.0,2548,4250,Gen-and-Run-Pipeline,3
Diabetes,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,4,1,Yes,0.0059587955474853,17.858621835708618,0.2376892566680908,0.2277016639709472,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.8394831800721686,-2.0,-2.0,0.765625,0.628099173553719,-2.0,-2.0,-2.0,2548,2548,Gen-and-Run-Pipeline,3
Diabetes,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,5,2,Yes,0.0059587955474853,18.978561639785767,15.538901329040527,0.2014853954315185,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.761494587358864,-2.0,-2.0,0.8020833333333334,0.6935483870967742,-2.0,-2.0,-2.0,2548,4341,Gen-and-Run-Pipeline,3
Diabetes,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,6,1,Yes,0.0059587955474853,24.73641872406006,0.3534853458404541,0.3431859016418457,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.8493772552671401,-2.0,-2.0,0.7552083333333334,0.6618705035971223,-2.0,-2.0,-2.0,2548,2548,Gen-and-Run-Pipeline,3
Diabetes,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,7,1,Yes,0.0059587955474853,14.70592474937439,0.2138643264770507,0.203336477279663,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7403678267954837,-2.0,-2.0,0.7864583333333334,0.6611570247933884,-2.0,-2.0,-2.0,2548,2548,Gen-and-Run-Pipeline,3
Diabetes,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,8,3,Yes,0.0059587955474853,25.68187379837036,33.40612316131592,0.251356840133667,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.8539168897683622,-2.0,-2.0,0.7916666666666666,0.6774193548387096,-2.0,-2.0,-2.0,2548,6144,Gen-and-Run-Pipeline,3
Diabetes,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,9,3,Yes,0.0059587955474853,23.783504486083984,38.10303378105164,0.208662748336792,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7321033639855663,-2.0,-2.0,0.7760416666666666,0.6504065040650406,-2.0,-2.0,-2.0,2548,6195,Gen-and-Run-Pipeline,3
Diabetes,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,10,2,Yes,0.0059587955474853,17.992696523666382,10.992688179016112,0.2261333465576172,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.8525200791526015,-2.0,-2.0,0.7864583333333334,0.6611570247933884,-2.0,-2.0,-2.0,2548,4103,Gen-and-Run-Pipeline,3
