dataset,col_index,data_type,missing_values_count,distinct_values_count
dataset_2,1,str,0,5
dataset_2,2,str,0,4
dataset_2,3,str,0,5
dataset_2,4,str,0,2
dataset_2,5,str,0,5
dataset_2,6,str,0,4
dataset_2,7,str,814,2
dataset_2,8,str,0,4
dataset_2,9,str,0,4
dataset_2,10,str,0,2
dataset_2,11,str,596,1
dataset_2,12,str,0,3
dataset_2,13,str,907,2
dataset_2,14,str,0,10
dataset_2,15,int,0,921
dataset_2,16,int,0,2
dataset_2,17,int,0,4
dataset_2,18,int,0,33
dataset_2,19,int,0,4
dataset_2,20,int,0,53
dataset_2,21,int,0,4
