dataset_name,col_index,data_type,with_dataset_description,missing_values_count,total_values_count,distinct_values_count,number_rows
Dionis,1,int,No,0,416188,82253,416188
Dionis,2,int,No,0,416188,1,416188
Dionis,3,int,No,0,416188,6888,416188
Dionis,4,int,No,0,416188,4979,416188
Dionis,5,int,No,0,416188,66076,416188
Dionis,6,int,No,0,416188,2254,416188
Dionis,7,int,No,0,416188,58989,416188
Dionis,8,int,No,0,416188,58575,416188
Dionis,9,int,No,0,416188,3815,416188
Dionis,10,int,No,0,416188,41067,416188
Dionis,11,int,No,0,416188,4087,416188
Dionis,12,int,No,0,416188,355,416188
Dionis,13,int,No,0,416188,8624,416188
Dionis,14,int,No,0,416188,59559,416188
Dionis,15,int,No,0,416188,9674,416188
Dionis,16,int,No,0,416188,1,416188
Dionis,17,int,No,0,416188,1,416188
Dionis,18,int,No,0,416188,8499,416188
Dionis,19,int,No,0,416188,8279,416188
Dionis,20,int,No,0,416188,1459,416188
Dionis,21,int,No,0,416188,63618,416188
Dionis,22,int,No,0,416188,5006,416188
Dionis,23,int,No,0,416188,16869,416188
Dionis,24,int,No,0,416188,38,416188
Dionis,25,int,No,0,416188,1,416188
Dionis,26,int,No,0,416188,2620,416188
Dionis,27,int,No,0,416188,6229,416188
Dionis,28,int,No,0,416188,52856,416188
Dionis,29,int,No,0,416188,62447,416188
Dionis,30,int,No,0,416188,61135,416188
Dionis,31,int,No,0,416188,22748,416188
Dionis,32,int,No,0,416188,20836,416188
Dionis,33,int,No,0,416188,34775,416188
Dionis,34,int,No,0,416188,55797,416188
Dionis,35,int,No,0,416188,1565,416188
Dionis,36,int,No,0,416188,58054,416188
Dionis,37,int,No,0,416188,9123,416188
Dionis,38,int,No,0,416188,11383,416188
Dionis,39,int,No,0,416188,30659,416188
Dionis,40,int,No,0,416188,4925,416188
Dionis,41,int,No,0,416188,1,416188
Dionis,42,int,No,0,416188,16974,416188
Dionis,43,int,No,0,416188,1886,416188
Dionis,44,int,No,0,416188,40314,416188
Dionis,45,int,No,0,416188,4541,416188
Dionis,46,int,No,0,416188,4471,416188
Dionis,47,int,No,0,416188,1,416188
Dionis,48,int,No,0,416188,49007,416188
Dionis,49,int,No,0,416188,1309,416188
Dionis,50,int,No,0,416188,8044,416188
Dionis,51,int,No,0,416188,1182,416188
Dionis,52,int,No,0,416188,8165,416188
Dionis,53,int,No,0,416188,6838,416188
Dionis,54,int,No,0,416188,4925,416188
Dionis,55,int,No,0,416188,34664,416188
Dionis,56,int,No,0,416188,7478,416188
Dionis,57,int,No,0,416188,7747,416188
Dionis,58,int,No,0,416188,9314,416188
Dionis,59,int,No,0,416188,1694,416188
Dionis,60,int,No,0,416188,7276,416188
Dionis,61,int,No,0,416188,2967,416188
