dataset_name,col_index,data_type,with_dataset_description,missing_values_count,total_values_count,distinct_values_count,number_rows
Aloi,1,int,No,0,108000,9,108000
Aloi,2,int,No,0,108000,9,108000
Aloi,3,int,No,0,108000,9,108000
Aloi,4,int,No,0,108000,10,108000
Aloi,5,int,No,0,108000,8,108000
Aloi,6,int,No,0,108000,10,108000
Aloi,7,int,No,0,108000,9,108000
Aloi,8,int,No,0,108000,8,108000
Aloi,9,int,No,0,108000,9,108000
Aloi,10,int,No,0,108000,9,108000
Aloi,11,int,No,0,108000,8,108000
Aloi,12,int,No,0,108000,10,108000
Aloi,13,int,No,0,108000,10,108000
Aloi,14,int,No,0,108000,10,108000
Aloi,15,int,No,0,108000,10,108000
Aloi,16,int,No,0,108000,9,108000
Aloi,17,int,No,0,108000,10,108000
Aloi,18,int,No,0,108000,10,108000
Aloi,19,int,No,0,108000,10,108000
Aloi,20,int,No,0,108000,10,108000
Aloi,21,int,No,0,108000,10,108000
Aloi,22,int,No,0,108000,8,108000
Aloi,23,int,No,0,108000,9,108000
Aloi,24,int,No,0,108000,9,108000
Aloi,25,int,No,0,108000,10,108000
Aloi,26,int,No,0,108000,9,108000
Aloi,27,int,No,0,108000,10,108000
Aloi,28,int,No,0,108000,10,108000
Aloi,29,int,No,0,108000,10,108000
Aloi,30,int,No,0,108000,9,108000
Aloi,31,int,No,0,108000,10,108000
Aloi,32,int,No,0,108000,10,108000
Aloi,33,int,No,0,108000,8,108000
Aloi,34,int,No,0,108000,7,108000
Aloi,35,int,No,0,108000,9,108000
Aloi,36,int,No,0,108000,10,108000
Aloi,37,int,No,0,108000,8,108000
Aloi,38,int,No,0,108000,10,108000
Aloi,39,int,No,0,108000,5,108000
Aloi,40,int,No,0,108000,9,108000
Aloi,41,int,No,0,108000,10,108000
Aloi,42,int,No,0,108000,10,108000
Aloi,43,int,No,0,108000,10,108000
Aloi,44,int,No,0,108000,9,108000
Aloi,45,int,No,0,108000,10,108000
Aloi,46,int,No,0,108000,10,108000
Aloi,47,int,No,0,108000,9,108000
Aloi,48,int,No,0,108000,7,108000
Aloi,49,int,No,0,108000,8,108000
Aloi,50,int,No,0,108000,10,108000
Aloi,51,int,No,0,108000,10,108000
Aloi,52,int,No,0,108000,10,108000
Aloi,53,int,No,0,108000,9,108000
Aloi,54,int,No,0,108000,10,108000
Aloi,55,int,No,0,108000,9,108000
Aloi,56,int,No,0,108000,1000,108000
Aloi,57,int,No,0,108000,9,108000
Aloi,58,int,No,0,108000,10,108000
Aloi,59,int,No,0,108000,9,108000
Aloi,60,int,No,0,108000,10,108000
Aloi,61,int,No,0,108000,7,108000
Aloi,62,int,No,0,108000,9,108000
Aloi,63,int,No,0,108000,10,108000
Aloi,64,int,No,0,108000,9,108000
Aloi,65,int,No,0,108000,9,108000
Aloi,66,int,No,0,108000,10,108000
Aloi,67,int,No,0,108000,7,108000
Aloi,68,int,No,0,108000,9,108000
Aloi,69,int,No,0,108000,10,108000
Aloi,70,int,No,0,108000,10,108000
Aloi,71,int,No,0,108000,8,108000
Aloi,72,int,No,0,108000,10,108000
Aloi,73,int,No,0,108000,10,108000
Aloi,74,int,No,0,108000,9,108000
Aloi,75,int,No,0,108000,10,108000
Aloi,76,int,No,0,108000,8,108000
Aloi,77,int,No,0,108000,9,108000
Aloi,78,int,No,0,108000,9,108000
Aloi,79,int,No,0,108000,10,108000
Aloi,80,int,No,0,108000,10,108000
Aloi,81,int,No,0,108000,8,108000
Aloi,82,int,No,0,108000,10,108000
Aloi,83,int,No,0,108000,9,108000
Aloi,84,int,No,0,108000,8,108000
Aloi,85,int,No,0,108000,10,108000
Aloi,86,int,No,0,108000,10,108000
Aloi,87,int,No,0,108000,10,108000
Aloi,88,int,No,0,108000,3,108000
Aloi,89,int,No,0,108000,10,108000
Aloi,90,int,No,0,108000,10,108000
Aloi,91,int,No,0,108000,10,108000
Aloi,92,int,No,0,108000,10,108000
Aloi,93,int,No,0,108000,9,108000
Aloi,94,int,No,0,108000,7,108000
Aloi,95,int,No,0,108000,9,108000
Aloi,96,int,No,0,108000,10,108000
Aloi,97,int,No,0,108000,10,108000
Aloi,98,int,No,0,108000,9,108000
Aloi,99,int,No,0,108000,9,108000
Aloi,100,int,No,0,108000,8,108000
Aloi,101,int,No,0,108000,10,108000
Aloi,102,int,No,0,108000,10,108000
Aloi,103,int,No,0,108000,10,108000
Aloi,104,int,No,0,108000,10,108000
Aloi,105,int,No,0,108000,10,108000
Aloi,106,int,No,0,108000,10,108000
Aloi,107,int,No,0,108000,10,108000
Aloi,108,int,No,0,108000,8,108000
Aloi,109,int,No,0,108000,8,108000
Aloi,110,int,No,0,108000,9,108000
Aloi,111,int,No,0,108000,9,108000
Aloi,112,int,No,0,108000,4,108000
Aloi,113,int,No,0,108000,9,108000
Aloi,114,int,No,0,108000,10,108000
Aloi,115,int,No,0,108000,8,108000
Aloi,116,int,No,0,108000,10,108000
Aloi,117,int,No,0,108000,4,108000
Aloi,118,int,No,0,108000,9,108000
Aloi,119,int,No,0,108000,9,108000
Aloi,120,int,No,0,108000,8,108000
Aloi,121,int,No,0,108000,10,108000
Aloi,122,int,No,0,108000,9,108000
Aloi,123,int,No,0,108000,9,108000
Aloi,124,int,No,0,108000,10,108000
Aloi,125,int,No,0,108000,10,108000
Aloi,126,int,No,0,108000,9,108000
Aloi,127,int,No,0,108000,10,108000
Aloi,128,int,No,0,108000,10,108000
Aloi,129,int,No,0,108000,10,108000
