dataset_name,col_index,data_type,with_dataset_description,missing_values_count,total_values_count,distinct_values_count,number_rows
Road-Safety,1,int,No,0,363243,28,363243
Road-Safety,2,int,No,0,363243,3,363243
Road-Safety,3,str,No,0,363243,140056,363243
Road-Safety,4,int,No,0,363243,3,363243
Road-Safety,5,int,No,0,363243,3,363243
Road-Safety,6,int,No,0,363243,21,363243
Road-Safety,7,int,No,0,363243,37,363243
Road-Safety,8,int,No,0,363243,38,363243
Road-Safety,9,int,No,1,363242,12,363243
Road-Safety,10,int,No,2,363241,10,363243
Road-Safety,11,int,No,2,363241,11,363243
Road-Safety,12,int,No,22,363221,6,363243
Road-Safety,13,int,No,46,363197,5,363243
Road-Safety,14,int,No,62,363181,20,363243
Road-Safety,15,int,No,84,363159,9,363243
Road-Safety,16,int,No,134,363109,2,363243
Road-Safety,17,int,No,159,363084,9,363243
Road-Safety,18,int,No,163,363080,12,363243
Road-Safety,19,int,No,166,363077,3,363243
Road-Safety,20,int,No,176,363067,10,363243
Road-Safety,21,int,No,176,363067,6,363243
Road-Safety,22,int,No,184,363059,18,363243
Road-Safety,23,int,No,206,363037,5,363243
Road-Safety,24,int,No,379,362864,6,363243
Road-Safety,25,int,No,762,362481,3,363243
Road-Safety,26,int,No,1483,361760,2,363243
Road-Safety,27,int,No,5569,357674,11,363243
Road-Safety,28,int,No,5569,357674,101,363243
Road-Safety,29,int,No,35869,327374,95,363243
Road-Safety,30,int,No,35869,327374,11,363243
Road-Safety,31,int,No,39795,323448,3,363243
Road-Safety,32,int,No,43377,319866,6,363243
Road-Safety,33,int,No,43377,319866,2,363243
Road-Safety,34,int,No,43377,319866,8,363243
Road-Safety,35,int,No,43377,319866,21,363243
Road-Safety,36,int,No,43377,319866,3,363243
Road-Safety,37,int,No,43377,319866,5,363243
Road-Safety,38,date,No,43377,319866,365,363243
Road-Safety,39,int,No,43377,319866,3938,363243
Road-Safety,40,str,No,43377,319866,204,363243
Road-Safety,41,int,No,43377,319866,6,363243
Road-Safety,42,int,No,43377,319866,49,363243
Road-Safety,43,int,No,43377,319866,7,363243
Road-Safety,44,int,No,43377,319866,356,363243
Road-Safety,45,int,No,43377,319866,9,363243
Road-Safety,46,int,No,43377,319866,15,363243
Road-Safety,47,int,No,43379,319864,9,363243
Road-Safety,48,int,No,43401,319842,3,363243
Road-Safety,49,str,No,43421,319822,1439,363243
Road-Safety,50,int,No,43450,319793,78609,363243
Road-Safety,51,float,No,43450,319793,117588,363243
Road-Safety,52,int,No,43450,319793,82205,363243
Road-Safety,53,float,No,43450,319793,116292,363243
Road-Safety,54,int,No,43590,319653,6,363243
Road-Safety,55,int,No,43617,319626,8,363243
Road-Safety,56,int,No,43679,319564,6,363243
Road-Safety,57,int,No,43696,319547,3,363243
Road-Safety,58,int,No,43893,319350,5,363243
Road-Safety,59,int,No,44827,318416,3707,363243
Road-Safety,60,int,No,60709,302534,3,363243
Road-Safety,61,str,No,64485,298758,25979,363243
Road-Safety,62,int,No,69577,293666,10,363243
Road-Safety,63,int,No,92636,270607,11,363243
Road-Safety,64,int,No,93346,269897,1140,363243
Road-Safety,65,int,No,107105,256138,72,363243
Road-Safety,66,int,No,174021,189222,4,363243
Road-Safety,67,int,No,175042,188201,6,363243
