dataset_name,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
Traffic,1,float,0,1578154,302145,1578154
Traffic,2,date,0,1578154,2810,1578154
Traffic,3,str,0,1578154,2,1578154
Traffic,4,str,0,1578154,19,1578154
Traffic,5,str,0,1578154,774176,1578154
Traffic,6,str,0,1578154,2,1578154
Traffic,7,str,0,1578154,2,1578154
Traffic,8,str,0,1578154,2,1578154
Traffic,9,str,0,1578154,2,1578154
Traffic,10,str,0,1578154,895102,1578154
Traffic,11,str,0,1578154,2,1578154
Traffic,12,str,0,1578154,2,1578154
Traffic,13,str,0,1578154,3,1578154
Traffic,14,str,0,1578154,2,1578154
Traffic,15,str,0,1578154,33,1578154
Traffic,16,str,0,1578154,9,1578154
Traffic,17,str,0,1578154,1086,1578154
Traffic,18,float,0,1578154,343293,1578154
Traffic,19,str,0,1578154,1440,1578154
Traffic,20,str,0,1578154,2,1578154
Traffic,21,str,0,1578154,1,1578154
Traffic,22,bool,0,1578154,2,1578154
Traffic,23,str,0,1578154,2,1578154
Traffic,24,str,0,1578154,6,1578154
Traffic,25,str,0,1578154,4,1578154
Traffic,26,str,2,1578152,214968,1578154
Traffic,27,str,9,1578145,14267,1578154
Traffic,28,str,11,1578143,68,1578154
Traffic,29,str,59,1578095,70,1578154
Traffic,30,str,389,1577765,8086,1578154
Traffic,31,str,929,1577225,70,1578154
Traffic,32,int,9647,1568507,354,1578154
Traffic,33,str,9763,1568391,3983,1578154
Traffic,34,str,9921,1568233,19461,1578154
Traffic,35,str,18657,1559497,26,1578154
Traffic,36,str,76873,1501281,4,1578154
Traffic,37,str,600828,977326,2,1578154
Traffic,38,str,600998,977156,751,1578154
Traffic,39,str,619994,958160,5,1578154
Traffic,40,str,1509055,69099,5,1578154
Traffic,41,str,1509055,69099,9,1578154
Traffic,42,str,1509063,69091,4,1578154
Traffic,43,str,1531303,46851,9,1578154
